p,q,tau,R0,critical_delay,status
0.615,0.415,2.5,1.125,,always_dieout
0.615,0.415,2.5,1.25,0.5423076923076924,crossed
0.615,0.415,2.5,1.3125,0.2,crossed
0.615,0.415,2.5,1.375,0.0231164383561644,crossed
0.615,0.415,2.5,1.4375,0.0,always_outbreak
0.615,0.415,2.5,1.5,0.0,always_outbreak
0.615,0.415,2.5,1.75,0.0,always_outbreak
0.615,0.415,3.0,1.125,,always_dieout
0.615,0.415,3.0,1.25,0.18467336683417088,crossed
0.615,0.415,3.0,1.3125,0.0,always_outbreak
0.615,0.415,3.0,1.375,0.0,always_outbreak
0.615,0.415,3.0,1.4375,0.0,always_outbreak
0.615,0.415,3.0,1.5,0.0,always_outbreak
0.615,0.415,3.0,1.75,0.0,always_outbreak
0.84,0.44,2.5,1.125,,always_dieout
0.84,0.44,2.5,1.25,0.7926829268292683,crossed
0.84,0.44,2.5,1.3125,0.21509740259740262,crossed
0.84,0.44,2.5,1.375,0.027003484320557512,crossed
0.84,0.44,2.5,1.4375,0.0,always_outbreak
0.84,0.44,2.5,1.5,0.0,always_outbreak
0.84,0.44,2.5,1.75,0.0,always_outbreak
0.84,0.44,3.0,1.125,,always_dieout
0.84,0.44,3.0,1.25,0.1865482233502538,crossed
0.84,0.44,3.0,1.3125,0.0,always_outbreak
0.84,0.44,3.0,1.375,0.0,always_outbreak
0.84,0.44,3.0,1.4375,0.0,always_outbreak
0.84,0.44,3.0,1.5,0.0,always_outbreak
0.84,0.44,3.0,1.75,0.0,always_outbreak
0.945,0.25,2.5,1.125,0.9460227272727272,crossed
0.945,0.25,2.5,1.25,0.17749529190207156,crossed
0.945,0.25,2.5,1.3125,0.08222433460076048,crossed
0.945,0.25,2.5,1.375,0.0,always_outbreak
0.945,0.25,2.5,1.4375,0.0,always_outbreak
0.945,0.25,2.5,1.5,0.0,always_outbreak
0.945,0.25,2.5,1.75,0.0,always_outbreak
0.945,0.25,3.0,1.125,0.7470588235294118,crossed
0.945,0.25,3.0,1.25,0.09147869674185465,crossed
0.945,0.25,3.0,1.3125,0.0,always_outbreak
0.945,0.25,3.0,1.375,0.0,always_outbreak
0.945,0.25,3.0,1.4375,0.0,always_outbreak
0.945,0.25,3.0,1.5,0.0,always_outbreak
0.945,0.25,3.0,1.75,0.0,always_outbreak
