p,q,tau,R0,critical_delay,status
0.055,0.36,0.5,1.125,,always_dieout
0.055,0.36,0.5,1.25,,always_dieout
0.055,0.36,0.5,1.3125,,always_dieout
0.055,0.36,0.5,1.375,,always_dieout
0.055,0.36,0.5,1.4375,,always_dieout
0.055,0.36,0.5,1.5,,always_dieout
0.055,0.36,0.5,1.75,,always_dieout
0.055,0.36,1.0,1.125,,always_dieout
0.055,0.36,1.0,1.25,,always_dieout
0.055,0.36,1.0,1.3125,,always_dieout
0.055,0.36,1.0,1.375,,always_dieout
0.055,0.36,1.0,1.4375,,always_dieout
0.055,0.36,1.0,1.5,,always_dieout
0.055,0.36,1.0,1.75,0.0,always_outbreak
0.055,0.36,1.5,1.125,,always_dieout
0.055,0.36,1.5,1.25,,always_dieout
0.055,0.36,1.5,1.3125,,always_dieout
0.055,0.36,1.5,1.375,,always_dieout
0.055,0.36,1.5,1.4375,,always_dieout
0.055,0.36,1.5,1.5,0.0,always_outbreak
0.055,0.36,1.5,1.75,0.0,always_outbreak
0.055,0.36,2.0,1.125,,always_dieout
0.055,0.36,2.0,1.25,,always_dieout
0.055,0.36,2.0,1.3125,,always_dieout
0.055,0.36,2.0,1.375,0.0,always_outbreak
0.055,0.36,2.0,1.4375,0.0,always_outbreak
0.055,0.36,2.0,1.5,0.0,always_outbreak
0.055,0.36,2.0,1.75,0.0,always_outbreak
0.275,0.47,0.5,1.125,,always_dieout
0.275,0.47,0.5,1.25,,always_dieout
0.275,0.47,0.5,1.3125,,always_dieout
0.275,0.47,0.5,1.375,,always_dieout
0.275,0.47,0.5,1.4375,,always_dieout
0.275,0.47,0.5,1.5,,always_dieout
0.275,0.47,0.5,1.75,,always_dieout
0.275,0.47,1.0,1.125,,always_dieout
0.275,0.47,1.0,1.25,,always_dieout
0.275,0.47,1.0,1.3125,,always_dieout
0.275,0.47,1.0,1.375,,always_dieout
0.275,0.47,1.0,1.4375,,always_dieout
0.275,0.47,1.0,1.5,,always_dieout
0.275,0.47,1.0,1.75,,always_dieout
0.275,0.47,1.5,1.125,,always_dieout
0.275,0.47,1.5,1.25,,always_dieout
0.275,0.47,1.5,1.3125,,always_dieout
0.275,0.47,1.5,1.375,,always_dieout
0.275,0.47,1.5,1.4375,,always_dieout
0.275,0.47,1.5,1.5,0.9583333333333334,crossed
0.275,0.47,1.5,1.75,0.0,always_outbreak
0.275,0.47,2.0,1.125,,always_dieout
0.275,0.47,2.0,1.25,,always_dieout
0.275,0.47,2.0,1.3125,,always_dieout
0.275,0.47,2.0,1.375,0.40865384615384615,crossed
0.275,0.47,2.0,1.4375,0.012195121951219521,crossed
0.275,0.47,2.0,1.5,0.0,always_outbreak
0.275,0.47,2.0,1.75,0.0,always_outbreak
0.5,0.305,0.5,1.125,,always_dieout
0.5,0.305,0.5,1.25,,always_dieout
0.5,0.305,0.5,1.3125,,always_dieout
0.5,0.305,0.5,1.375,,always_dieout
0.5,0.305,0.5,1.4375,,always_dieout
0.5,0.305,0.5,1.5,,always_dieout
0.5,0.305,0.5,1.75,,always_dieout
0.5,0.305,1.0,1.125,,always_dieout
0.5,0.305,1.0,1.25,,always_dieout
0.5,0.305,1.0,1.3125,,always_dieout
0.5,0.305,1.0,1.375,,always_dieout
0.5,0.305,1.0,1.4375,0.625,crossed
0.5,0.305,1.0,1.5,0.23307291666666666,crossed
0.5,0.305,1.0,1.75,0.0,always_outbreak
0.5,0.305,1.5,1.125,,always_dieout
0.5,0.305,1.5,1.25,,always_dieout
0.5,0.305,1.5,1.3125,0.5685483870967742,crossed
0.5,0.305,1.5,1.375,0.2591743119266055,crossed
0.5,0.305,1.5,1.4375,0.0997191011235955,crossed
0.5,0.305,1.5,1.5,0.0,always_outbreak
0.5,0.305,1.5,1.75,0.0,always_outbreak
0.5,0.305,2.0,1.125,,always_dieout
0.5,0.305,2.0,1.25,0.49257425742574257,crossed
0.5,0.305,2.0,1.3125,0.17483660130718953,crossed
0.5,0.305,2.0,1.375,0.0,always_outbreak
0.5,0.305,2.0,1.4375,0.0,always_outbreak
0.5,0.305,2.0,1.5,0.0,always_outbreak
0.5,0.305,2.0,1.75,0.0,always_outbreak
0.615,0.415,0.5,1.125,,always_dieout
0.615,0.415,0.5,1.25,,always_dieout
0.615,0.415,0.5,1.3125,,always_dieout
0.615,0.415,0.5,1.375,,always_dieout
0.615,0.415,0.5,1.4375,,always_dieout
0.615,0.415,0.5,1.5,,always_dieout
0.615,0.415,0.5,1.75,,always_dieout
0.615,0.415,1.0,1.125,,always_dieout
0.615,0.415,1.0,1.25,,always_dieout
0.615,0.415,1.0,1.3125,,always_dieout
0.615,0.415,1.0,1.375,,always_dieout
0.615,0.415,1.0,1.4375,,always_dieout
0.615,0.415,1.0,1.5,,always_dieout
0.615,0.415,1.0,1.75,0.17307692307692307,crossed
0.615,0.415,1.5,1.125,,always_dieout
0.615,0.415,1.5,1.25,,always_dieout
0.615,0.415,1.5,1.3125,,always_dieout
0.615,0.415,1.5,1.375,,always_dieout
0.615,0.415,1.5,1.4375,0.43203883495145634,crossed
0.615,0.415,1.5,1.5,0.2242798353909465,crossed
0.615,0.415,1.5,1.75,0.0,always_outbreak
0.615,0.415,2.0,1.125,,always_dieout
0.615,0.415,2.0,1.25,,always_dieout
0.615,0.415,2.0,1.3125,0.5337837837837838,crossed
0.615,0.415,2.0,1.375,0.22309417040358745,crossed
0.615,0.415,2.0,1.4375,0.11627906976744186,crossed
0.615,0.415,2.0,1.5,0.0211267605633803,crossed
0.615,0.415,2.0,1.75,0.0,always_outbreak
0.84,0.44,0.5,1.125,,always_dieout
0.84,0.44,0.5,1.25,,always_dieout
0.84,0.44,0.5,1.3125,,always_dieout
0.84,0.44,0.5,1.375,,always_dieout
0.84,0.44,0.5,1.4375,,always_dieout
0.84,0.44,0.5,1.5,,always_dieout
0.84,0.44,0.5,1.75,,always_dieout
0.84,0.44,1.0,1.125,,always_dieout
0.84,0.44,1.0,1.25,,always_dieout
0.84,0.44,1.0,1.3125,,always_dieout
0.84,0.44,1.0,1.375,,always_dieout
0.84,0.44,1.0,1.4375,,always_dieout
0.84,0.44,1.0,1.5,,always_dieout
0.84,0.44,1.0,1.75,0.21614583333333331,crossed
0.84,0.44,1.5,1.125,,always_dieout
0.84,0.44,1.5,1.25,,always_dieout
0.84,0.44,1.5,1.3125,,always_dieout
0.84,0.44,1.5,1.375,,always_dieout
0.84,0.44,1.5,1.4375,0.743421052631579,crossed
0.84,0.44,1.5,1.5,0.3032786885245902,crossed
0.84,0.44,1.5,1.75,0.06730769230769232,crossed
0.84,0.44,2.0,1.125,,always_dieout
0.84,0.44,2.0,1.25,,always_dieout
0.84,0.44,2.0,1.3125,0.896551724137931,crossed
0.84,0.44,2.0,1.375,0.2732558139534884,crossed
0.84,0.44,2.0,1.4375,0.15590405904059038,crossed
0.84,0.44,2.0,1.5,0.07198443579766538,crossed
