R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,2.5,0.0,0.055,0.36,0.94,0.420642
1.125,2.5,0.25,0.055,0.36,0.94,0.423672
1.125,2.5,0.5,0.055,0.36,0.932,0.424948
1.125,2.5,0.75,0.055,0.36,0.93,0.426984
1.125,2.5,1.0,0.055,0.36,0.924,0.427208
1.125,2.5,1.25,0.055,0.36,0.932,0.4275339999999999
1.125,2.5,1.5,0.055,0.36,0.912,0.428332
1.125,2.5,2.0,0.055,0.36,0.936,0.4278659999999999
1.25,2.5,0.0,0.055,0.36,0.532,0.491634
1.25,2.5,0.25,0.055,0.36,0.502,0.495964
1.25,2.5,0.5,0.055,0.36,0.524,0.496768
1.25,2.5,0.75,0.055,0.36,0.52,0.497664
1.25,2.5,1.0,0.055,0.36,0.484,0.499394
1.25,2.5,1.25,0.055,0.36,0.508,0.498414
1.25,2.5,1.5,0.055,0.36,0.494,0.49877
1.25,2.5,2.0,0.055,0.36,0.506,0.4981699999999999
1.3125,2.5,0.0,0.055,0.36,0.29,0.5305319999999999
1.3125,2.5,0.25,0.055,0.36,0.25,0.534072
1.3125,2.5,0.5,0.055,0.36,0.254,0.53538
1.3125,2.5,0.75,0.055,0.36,0.224,0.538114
1.3125,2.5,1.0,0.055,0.36,0.226,0.5369680000000001
1.3125,2.5,1.25,0.055,0.36,0.224,0.53852
1.3125,2.5,1.5,0.055,0.36,0.226,0.537862
1.3125,2.5,2.0,0.055,0.36,0.228,0.53869
1.375,2.5,0.0,0.055,0.36,0.108,0.565758
1.375,2.5,0.25,0.055,0.36,0.096,0.5695
1.375,2.5,0.5,0.055,0.36,0.084,0.5709780000000001
1.375,2.5,0.75,0.055,0.36,0.078,0.5712860000000001
1.375,2.5,1.0,0.055,0.36,0.096,0.572202
1.375,2.5,1.25,0.055,0.36,0.078,0.572388
1.375,2.5,1.5,0.055,0.36,0.092,0.572152
1.375,2.5,2.0,0.055,0.36,0.086,0.57174
1.4375,2.5,0.0,0.055,0.36,0.032,0.5989580000000001
1.4375,2.5,0.25,0.055,0.36,0.038,0.6012259999999999
1.4375,2.5,0.5,0.055,0.36,0.028,0.60222
1.4375,2.5,0.75,0.055,0.36,0.028,0.605462
1.4375,2.5,1.0,0.055,0.36,0.034,0.604416
1.4375,2.5,1.25,0.055,0.36,0.026,0.60529
1.4375,2.5,1.5,0.055,0.36,0.024,0.60468
1.4375,2.5,2.0,0.055,0.36,0.026,0.6050099999999999
1.5,2.5,0.0,0.055,0.36,0.006,0.631066
1.5,2.5,0.25,0.055,0.36,0.008,0.6332160000000001
1.5,2.5,0.5,0.055,0.36,0.008,0.634722
1.5,2.5,0.75,0.055,0.36,0.004,0.6348239999999999
1.5,2.5,1.0,0.055,0.36,0.006,0.6365419999999999
1.5,2.5,1.25,0.055,0.36,0.006,0.635948
1.5,2.5,1.5,0.055,0.36,0.006,0.63563
1.5,2.5,2.0,0.055,0.36,0.004,0.63528
1.75,2.5,0.0,0.055,0.36,0.0,0.7446299999999999
1.75,2.5,0.25,0.055,0.36,0.0,0.7467
1.75,2.5,0.5,0.055,0.36,0.0,0.7476479999999999
1.75,2.5,0.75,0.055,0.36,0.0,0.74873
1.75,2.5,1.0,0.055,0.36,0.0,0.748484
1.75,2.5,1.25,0.055,0.36,0.0,0.749034
1.75,2.5,1.5,0.055,0.36,0.0,0.749642
1.75,2.5,2.0,0.055,0.36,0.0,0.749498
1.125,3.0,0.0,0.055,0.36,0.836,0.4499539999999999
1.125,3.0,0.25,0.055,0.36,0.816,0.4530699999999999
1.125,3.0,0.5,0.055,0.36,0.804,0.453648
1.125,3.0,0.75,0.055,0.36,0.816,0.454648
1.125,3.0,1.0,0.055,0.36,0.804,0.455038
1.125,3.0,1.25,0.055,0.36,0.812,0.455894
1.125,3.0,1.5,0.055,0.36,0.808,0.455138
1.125,3.0,2.0,0.055,0.36,0.806,0.456178
1.25,3.0,0.0,0.055,0.36,0.306,0.526766
1.25,3.0,0.25,0.055,0.36,0.3,0.5297719999999999
1.25,3.0,0.5,0.055,0.36,0.284,0.531242
1.25,3.0,0.75,0.055,0.36,0.276,0.531358
1.25,3.0,1.0,0.055,0.36,0.262,0.53222
1.25,3.0,1.25,0.055,0.36,0.278,0.53193
1.25,3.0,1.5,0.055,0.36,0.282,0.532664
1.25,3.0,2.0,0.055,0.36,0.272,0.532146
1.3125,3.0,0.0,0.055,0.36,0.11,0.567084
1.3125,3.0,0.25,0.055,0.36,0.1,0.5703959999999999
1.3125,3.0,0.5,0.055,0.36,0.1,0.572822
1.3125,3.0,0.75,0.055,0.36,0.078,0.5737940000000001
1.3125,3.0,1.0,0.055,0.36,0.086,0.573516
1.3125,3.0,1.25,0.055,0.36,0.094,0.574622
1.3125,3.0,1.5,0.055,0.36,0.084,0.574862
1.3125,3.0,2.0,0.055,0.36,0.08,0.57447
1.375,3.0,0.0,0.055,0.36,0.038,0.60449
1.375,3.0,0.25,0.055,0.36,0.036,0.6057
1.375,3.0,0.5,0.055,0.36,0.028,0.608386
1.375,3.0,0.75,0.055,0.36,0.026,0.609112
1.375,3.0,1.0,0.055,0.36,0.026,0.609584
1.375,3.0,1.25,0.055,0.36,0.022,0.6106199999999999
1.375,3.0,1.5,0.055,0.36,0.022,0.609738
1.375,3.0,2.0,0.055,0.36,0.024,0.610128
1.4375,3.0,0.0,0.055,0.36,0.002,0.6381420000000001
1.4375,3.0,0.25,0.055,0.36,0.0,0.642158
1.4375,3.0,0.5,0.055,0.36,0.002,0.64312
1.4375,3.0,0.75,0.055,0.36,0.002,0.643732
1.4375,3.0,1.0,0.055,0.36,0.002,0.643278
1.4375,3.0,1.25,0.055,0.36,0.002,0.6442819999999999
1.4375,3.0,1.5,0.055,0.36,0.002,0.6439640000000001
1.4375,3.0,2.0,0.055,0.36,0.002,0.644414
1.5,3.0,0.0,0.055,0.36,0.0,0.6707919999999999
1.5,3.0,0.25,0.055,0.36,0.0,0.6724600000000001
1.5,3.0,0.5,0.055,0.36,0.0,0.674676
1.5,3.0,0.75,0.055,0.36,0.0,0.674976
1.5,3.0,1.0,0.055,0.36,0.0,0.675714
1.5,3.0,1.25,0.055,0.36,0.0,0.6752159999999999
1.5,3.0,1.5,0.055,0.36,0.0,0.6760660000000001
1.5,3.0,2.0,0.055,0.36,0.0,0.676356
1.75,3.0,0.0,0.055,0.36,0.0,0.780918
1.75,3.0,0.25,0.055,0.36,0.0,0.7835
1.75,3.0,0.5,0.055,0.36,0.0,0.7836040000000001
1.75,3.0,0.75,0.055,0.36,0.0,0.784172
1.75,3.0,1.0,0.055,0.36,0.0,0.7844059999999999
1.75,3.0,1.25,0.055,0.36,0.0,0.7846500000000001
1.75,3.0,1.5,0.055,0.36,0.0,0.7844000000000001
1.75,3.0,2.0,0.055,0.36,0.0,0.7849259999999999
1.125,3.5,0.0,0.055,0.36,0.684,0.473822
1.125,3.5,0.25,0.055,0.36,0.672,0.477536
1.125,3.5,0.5,0.055,0.36,0.662,0.4786459999999999
1.125,3.5,0.75,0.055,0.36,0.652,0.478492
1.125,3.5,1.0,0.055,0.36,0.66,0.479316
1.125,3.5,1.25,0.055,0.36,0.64,0.47959
1.125,3.5,1.5,0.055,0.36,0.642,0.479956
1.125,3.5,2.0,0.055,0.36,0.634,0.480468
1.25,3.5,0.0,0.055,0.36,0.166,0.5540900000000001
1.25,3.5,0.25,0.055,0.36,0.174,0.5561399999999999
1.25,3.5,0.5,0.055,0.36,0.166,0.5581079999999999
1.25,3.5,0.75,0.055,0.36,0.156,0.55999
1.25,3.5,1.0,0.055,0.36,0.154,0.559674
1.25,3.5,1.25,0.055,0.36,0.154,0.56007
1.25,3.5,1.5,0.055,0.36,0.156,0.5598240000000001
1.25,3.5,2.0,0.055,0.36,0.156,0.559606
1.3125,3.5,0.0,0.055,0.36,0.046,0.5977100000000001
1.3125,3.5,0.25,0.055,0.36,0.048,0.5994940000000001
1.3125,3.5,0.5,0.055,0.36,0.042,0.601028
1.3125,3.5,0.75,0.055,0.36,0.042,0.601358
1.3125,3.5,1.0,0.055,0.36,0.042,0.602048
1.3125,3.5,1.25,0.055,0.36,0.042,0.6022640000000001
1.3125,3.5,1.5,0.055,0.36,0.05,0.602722
1.3125,3.5,2.0,0.055,0.36,0.044,0.602942
1.375,3.5,0.0,0.055,0.36,0.008,0.633852
1.375,3.5,0.25,0.055,0.36,0.004,0.636856
1.375,3.5,0.5,0.055,0.36,0.006,0.6377760000000001
1.375,3.5,0.75,0.055,0.36,0.002,0.6381979999999999
1.375,3.5,1.0,0.055,0.36,0.004,0.638126
1.375,3.5,1.25,0.055,0.36,0.004,0.6385820000000001
1.375,3.5,1.5,0.055,0.36,0.004,0.639734
1.375,3.5,2.0,0.055,0.36,0.004,0.638888
1.4375,3.5,0.0,0.055,0.36,0.0,0.6695880000000001
1.4375,3.5,0.25,0.055,0.36,0.002,0.6706340000000001
1.4375,3.5,0.5,0.055,0.36,0.0,0.672236
1.4375,3.5,0.75,0.055,0.36,0.002,0.67306
1.4375,3.5,1.0,0.055,0.36,0.002,0.673886
1.4375,3.5,1.25,0.055,0.36,0.0,0.6735260000000001
1.4375,3.5,1.5,0.055,0.36,0.0,0.673404
1.4375,3.5,2.0,0.055,0.36,0.002,0.672674
1.5,3.5,0.0,0.055,0.36,0.0,0.7004819999999999
1.5,3.5,0.25,0.055,0.36,0.0,0.7022759999999999
1.5,3.5,0.5,0.055,0.36,0.0,0.7031900000000001
1.5,3.5,0.75,0.055,0.36,0.0,0.703714
1.5,3.5,1.0,0.055,0.36,0.0,0.704236
1.5,3.5,1.25,0.055,0.36,0.0,0.7040339999999998
