R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,0.5,0.0,0.945,0.25,1.0,0.128558
1.125,0.5,0.0,0.84,0.44,1.0,0.128558
1.125,0.5,0.0,0.275,0.47,1.0,0.13094
1.125,0.5,0.0,0.055,0.36,1.0,0.23056000000000001
1.125,0.5,0.0,0.5,0.305,1.0,0.13132
1.125,0.5,0.0,0.615,0.415,1.0,0.128558
1.125,0.5,0.25,0.945,0.25,1.0,0.25563800000000003
1.125,0.5,0.25,0.84,0.44,1.0,0.17732
1.125,0.5,0.25,0.275,0.47,1.0,0.170654
1.125,0.5,0.25,0.055,0.36,1.0,0.234616
1.125,0.5,0.25,0.5,0.305,1.0,0.22116199999999997
1.125,0.5,0.25,0.615,0.415,1.0,0.182854
1.125,0.5,0.5,0.945,0.25,1.0,0.296
1.125,0.5,0.5,0.84,0.44,1.0,0.19870600000000002
1.125,0.5,0.5,0.275,0.47,1.0,0.18982600000000002
1.125,0.5,0.5,0.055,0.36,1.0,0.238516
1.125,0.5,0.5,0.5,0.305,1.0,0.25747000000000003
1.125,0.5,0.5,0.615,0.415,1.0,0.206726
1.125,0.5,0.75,0.945,0.25,1.0,0.296
1.125,0.5,0.75,0.84,0.44,1.0,0.19870600000000002
1.125,0.5,0.75,0.275,0.47,1.0,0.18982600000000002
1.125,0.5,0.75,0.055,0.36,1.0,0.238516
1.125,0.5,0.75,0.5,0.305,1.0,0.25747000000000003
1.125,0.5,0.75,0.615,0.415,1.0,0.206726
1.125,0.5,1.0,0.945,0.25,1.0,0.296
1.125,0.5,1.0,0.84,0.44,1.0,0.19870600000000002
1.125,0.5,1.0,0.275,0.47,1.0,0.18982600000000002
1.125,0.5,1.0,0.055,0.36,1.0,0.238516
1.125,0.5,1.0,0.5,0.305,1.0,0.25747000000000003
1.125,0.5,1.0,0.615,0.415,1.0,0.206726
1.125,0.5,1.25,0.945,0.25,1.0,0.296
1.125,0.5,1.25,0.84,0.44,1.0,0.19870600000000002
1.125,0.5,1.25,0.275,0.47,1.0,0.18982600000000002
1.125,0.5,1.25,0.055,0.36,1.0,0.238516
1.125,0.5,1.25,0.5,0.305,1.0,0.25747000000000003
1.125,0.5,1.25,0.615,0.415,1.0,0.206726
1.125,0.5,1.5,0.945,0.25,1.0,0.296
1.125,0.5,1.5,0.84,0.44,1.0,0.19870600000000002
1.125,0.5,1.5,0.275,0.47,1.0,0.18982600000000002
1.125,0.5,1.5,0.055,0.36,1.0,0.238516
1.125,0.5,1.5,0.5,0.305,1.0,0.25747000000000003
1.125,0.5,1.5,0.615,0.415,1.0,0.206726
1.125,0.5,2.0,0.945,0.25,1.0,0.296
1.125,0.5,2.0,0.84,0.44,1.0,0.19870600000000002
1.125,0.5,2.0,0.275,0.47,1.0,0.18982600000000002
1.125,0.5,2.0,0.055,0.36,1.0,0.238516
1.125,0.5,2.0,0.5,0.305,1.0,0.25747000000000003
1.125,0.5,2.0,0.615,0.415,1.0,0.206726
1.125,1.0,0.0,0.945,0.25,1.0,0.20048000000000002
1.125,1.0,0.0,0.84,0.44,1.0,0.20030599999999998
1.125,1.0,0.0,0.275,0.47,1.0,0.212224
1.125,1.0,0.0,0.055,0.36,1.0,0.29031399999999996
1.125,1.0,0.0,0.5,0.305,1.0,0.21976800000000002
1.125,1.0,0.0,0.615,0.415,1.0,0.20030599999999998
1.125,1.0,0.25,0.945,0.25,0.992,0.32455600000000007
1.125,1.0,0.25,0.84,0.44,1.0,0.24693
1.125,1.0,0.25,0.275,0.47,1.0,0.24169400000000002
1.125,1.0,0.25,0.055,0.36,1.0,0.294364
1.125,1.0,0.25,0.5,0.305,1.0,0.291984
1.125,1.0,0.25,0.615,0.415,1.0,0.25125400000000003
1.125,1.0,0.5,0.945,0.25,0.98,0.370272
1.125,1.0,0.5,0.84,0.44,1.0,0.26958799999999994
1.125,1.0,0.5,0.275,0.47,1.0,0.2604
1.125,1.0,0.5,0.055,0.36,1.0,0.297536
1.125,1.0,0.5,0.5,0.305,1.0,0.32680000000000003
1.125,1.0,0.5,0.615,0.415,1.0,0.276
1.125,1.0,0.75,0.945,0.25,0.978,0.37785199999999997
1.125,1.0,0.75,0.84,0.44,1.0,0.27951800000000004
1.125,1.0,0.75,0.275,0.47,1.0,0.269122
1.125,1.0,0.75,0.055,0.36,1.0,0.299738
1.125,1.0,0.75,0.5,0.305,1.0,0.33827999999999997
1.125,1.0,0.75,0.615,0.415,1.0,0.28545000000000004
1.125,1.0,1.0,0.945,0.25,0.992,0.3777380000000001
1.125,1.0,1.0,0.84,0.44,1.0,0.27964
1.125,1.0,1.0,0.275,0.47,1.0,0.27116599999999996
1.125,1.0,1.0,0.055,0.36,1.0,0.300846
1.125,1.0,1.0,0.5,0.305,1.0,0.340524
1.125,1.0,1.0,0.615,0.415,1.0,0.28761400000000004
1.125,1.0,1.25,0.945,0.25,0.992,0.3777380000000001
1.125,1.0,1.25,0.84,0.44,1.0,0.27964
1.125,1.0,1.25,0.275,0.47,1.0,0.27116599999999996
1.125,1.0,1.25,0.055,0.36,1.0,0.300846
1.125,1.0,1.25,0.5,0.305,1.0,0.340524
1.125,1.0,1.25,0.615,0.415,1.0,0.28761400000000004
1.125,1.0,1.5,0.945,0.25,0.992,0.3777380000000001
1.125,1.0,1.5,0.84,0.44,1.0,0.27964
1.125,1.0,1.5,0.275,0.47,1.0,0.27116599999999996
1.125,1.0,1.5,0.055,0.36,1.0,0.300846
1.125,1.0,1.5,0.5,0.305,1.0,0.340524
1.125,1.0,1.5,0.615,0.415,1.0,0.28761400000000004
1.125,1.0,2.0,0.945,0.25,0.992,0.3777380000000001
1.125,1.0,2.0,0.84,0.44,1.0,0.27964
1.125,1.0,2.0,0.275,0.47,1.0,0.27116599999999996
1.125,1.0,2.0,0.055,0.36,1.0,0.300846
1.125,1.0,2.0,0.5,0.305,1.0,0.340524
1.125,1.0,2.0,0.615,0.415,1.0,0.28761400000000004
1.125,1.5,0.0,0.945,0.25,1.0,0.265346
1.125,1.5,0.0,0.84,0.44,1.0,0.26435000000000003
