R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,5.5,0.0,0.945,0.25,0.342,0.519958
1.125,5.5,0.0,0.84,0.44,0.342,0.519958
1.125,5.5,0.0,0.275,0.47,0.342,0.519958
1.125,5.5,0.0,0.055,0.36,0.282,0.53047
1.125,5.5,0.0,0.5,0.305,0.342,0.519958
1.125,5.5,0.0,0.615,0.415,0.342,0.519958
1.125,5.5,0.25,0.945,0.25,0.294,0.5293859999999999
1.125,5.5,0.25,0.84,0.44,0.312,0.524888
1.125,5.5,0.25,0.275,0.47,0.318,0.5244560000000001
1.125,5.5,0.25,0.055,0.36,0.274,0.532318
1.125,5.5,0.25,0.5,0.305,0.308,0.527452
1.125,5.5,0.25,0.615,0.415,0.312,0.524956
1.125,5.5,0.5,0.945,0.25,0.26,0.535456
1.125,5.5,0.5,0.84,0.44,0.302,0.527608
1.125,5.5,0.5,0.275,0.47,0.298,0.527282
1.125,5.5,0.5,0.055,0.36,0.266,0.533538
1.125,5.5,0.5,0.5,0.305,0.274,0.5327459999999999
1.125,5.5,0.5,0.615,0.415,0.292,0.5291699999999999
1.125,5.5,0.75,0.945,0.25,0.236,0.540022
1.125,5.5,0.75,0.84,0.44,0.29,0.529884
1.125,5.5,0.75,0.275,0.47,0.29,0.5291
1.125,5.5,0.75,0.055,0.36,0.262,0.53442
1.125,5.5,0.75,0.5,0.305,0.254,0.536688
1.125,5.5,0.75,0.615,0.415,0.292,0.5310060000000001
1.125,5.5,1.0,0.945,0.25,0.222,0.5425460000000001
1.125,5.5,1.0,0.84,0.44,0.274,0.5318860000000001
1.125,5.5,1.0,0.275,0.47,0.286,0.530872
1.125,5.5,1.0,0.055,0.36,0.25,0.534924
1.125,5.5,1.0,0.5,0.305,0.248,0.5393
1.125,5.5,1.0,0.615,0.415,0.268,0.5331099999999999
1.125,5.5,1.25,0.945,0.25,0.212,0.54538
1.125,5.5,1.25,0.84,0.44,0.268,0.533168
1.125,5.5,1.25,0.275,0.47,0.282,0.5317459999999999
1.125,5.5,1.25,0.055,0.36,0.246,0.5354000000000001
1.125,5.5,1.25,0.5,0.305,0.236,0.540632
1.125,5.5,1.25,0.615,0.415,0.264,0.5342659999999999
1.125,5.5,1.5,0.945,0.25,0.21,0.54747
1.125,5.5,1.5,0.84,0.44,0.268,0.5340340000000001
1.125,5.5,1.5,0.275,0.47,0.28,0.532492
1.125,5.5,1.5,0.055,0.36,0.256,0.5352480000000001
1.125,5.5,1.5,0.5,0.305,0.232,0.54175
1.125,5.5,1.5,0.615,0.415,0.258,0.534904
1.125,5.5,2.0,0.945,0.25,0.208,0.550238
1.125,5.5,2.0,0.84,0.44,0.268,0.535014
1.125,5.5,2.0,0.275,0.47,0.262,0.5332959999999999
1.125,5.5,2.0,0.055,0.36,0.256,0.535366
1.125,5.5,2.0,0.5,0.305,0.216,0.544526
1.125,5.5,2.0,0.615,0.415,0.248,0.536408
1.125,6.0,0.0,0.945,0.25,0.29,0.5303439999999999
1.125,6.0,0.0,0.84,0.44,0.29,0.5303439999999999
1.125,6.0,0.0,0.275,0.47,0.29,0.5303439999999999
1.125,6.0,0.0,0.055,0.36,0.256,0.537328
1.125,6.0,0.0,0.5,0.305,0.29,0.5303439999999999
1.125,6.0,0.0,0.615,0.415,0.29,0.5303439999999999
1.125,6.0,0.25,0.945,0.25,0.256,0.537278
1.125,6.0,0.25,0.84,0.44,0.27,0.534004
1.125,6.0,0.25,0.275,0.47,0.272,0.5335939999999999
1.125,6.0,0.25,0.055,0.36,0.228,0.539726
1.125,6.0,0.25,0.5,0.305,0.258,0.536102
1.125,6.0,0.25,0.615,0.415,0.268,0.534128
1.125,6.0,0.5,0.945,0.25,0.226,0.541726
1.125,6.0,0.5,0.84,0.44,0.268,0.5359539999999999
1.125,6.0,0.5,0.275,0.47,0.262,0.535496
1.125,6.0,0.5,0.055,0.36,0.224,0.5410219999999999
1.125,6.0,0.5,0.5,0.305,0.24,0.539578
1.125,6.0,0.5,0.615,0.415,0.25,0.536956
1.125,6.0,0.75,0.945,0.25,0.216,0.5444199999999999
1.125,6.0,0.75,0.84,0.44,0.252,0.5379700000000001
1.125,6.0,0.75,0.275,0.47,0.262,0.537162
1.125,6.0,0.75,0.055,0.36,0.224,0.541318
1.125,6.0,0.75,0.5,0.305,0.234,0.5419560000000001
1.125,6.0,0.75,0.615,0.415,0.248,0.53875
1.125,6.0,1.0,0.945,0.25,0.202,0.546942
1.125,6.0,1.0,0.84,0.44,0.25,0.5389180000000001
1.125,6.0,1.0,0.275,0.47,0.246,0.538308
1.125,6.0,1.0,0.055,0.36,0.216,0.541696
1.125,6.0,1.0,0.5,0.305,0.21,0.543948
1.125,6.0,1.0,0.615,0.415,0.234,0.540034
1.125,6.0,1.25,0.945,0.25,0.186,0.548972
1.125,6.0,1.25,0.84,0.44,0.24,0.53996
1.125,6.0,1.25,0.275,0.47,0.242,0.538716
1.125,6.0,1.25,0.055,0.36,0.226,0.542196
1.125,6.0,1.25,0.5,0.305,0.202,0.54528
1.125,6.0,1.25,0.615,0.415,0.24,0.540316
1.125,6.0,1.5,0.945,0.25,0.19,0.549968
1.125,6.0,1.5,0.84,0.44,0.222,0.5406320000000001
1.125,6.0,1.5,0.275,0.47,0.25,0.5393519999999999
1.125,6.0,1.5,0.055,0.36,0.21,0.542066
1.125,6.0,1.5,0.5,0.305,0.19,0.547074
1.125,6.0,1.5,0.615,0.415,0.22,0.5411659999999999
1.125,6.0,2.0,0.945,0.25,0.174,0.552424
1.125,6.0,2.0,0.84,0.44,0.22,0.54152
1.125,6.0,2.0,0.275,0.47,0.236,0.5402239999999999
1.125,6.0,2.0,0.055,0.36,0.216,0.5423340000000001
1.125,6.0,2.0,0.5,0.305,0.2,0.5481600000000001
1.125,6.0,2.0,0.615,0.415,0.212,0.54235
1.25,5.5,0.0,0.945,0.25,0.046,0.6045139999999999
1.25,5.5,0.0,0.84,0.44,0.046,0.6045139999999999
1.25,5.5,0.0,0.275,0.47,0.046,0.6045139999999999
1.25,5.5,0.0,0.055,0.36,0.034,0.614956
1.25,5.5,0.0,0.5,0.305,0.046,0.6045139999999999
1.25,5.5,0.0,0.615,0.415,0.046,0.6045139999999999
1.25,5.5,0.25,0.945,0.25,0.03,0.613832
1.25,5.5,0.25,0.84,0.44,0.036,0.609048
1.25,5.5,0.25,0.275,0.47,0.04,0.6085139999999999
1.25,5.5,0.25,0.055,0.36,0.03,0.616762
1.25,5.5,0.25,0.5,0.305,0.04,0.6117940000000001
1.25,5.5,0.25,0.615,0.415,0.038,0.6097480000000001
1.25,5.5,0.5,0.945,0.25,0.028,0.6197099999999999
1.25,5.5,0.5,0.84,0.44,0.038,0.612218
1.25,5.5,0.5,0.275,0.47,0.036,0.6114200000000001
1.25,5.5,0.5,0.055,0.36,0.028,0.6174700000000001
1.25,5.5,0.5,0.5,0.305,0.036,0.616836
1.25,5.5,0.5,0.615,0.415,0.032,0.6130119999999999
1.25,5.5,0.75,0.945,0.25,0.026,0.623934
1.25,5.5,0.75,0.84,0.44,0.032,0.614642
1.25,5.5,0.75,0.275,0.47,0.036,0.613824
1.25,5.5,0.75,0.055,0.36,0.03,0.6180180000000001
1.25,5.5,0.75,0.5,0.305,0.028,0.620498
1.25,5.5,0.75,0.615,0.415,0.036,0.615474
1.25,5.5,1.0,0.945,0.25,0.022,0.6267760000000001
1.25,5.5,1.0,0.84,0.44,0.032,0.6159359999999999
1.25,5.5,1.0,0.275,0.47,0.032,0.6148579999999999
1.25,5.5,1.0,0.055,0.36,0.03,0.61854
1.25,5.5,1.0,0.5,0.305,0.028,0.6238879999999999
1.25,5.5,1.0,0.615,0.415,0.032,0.6169640000000001
1.25,5.5,1.25,0.945,0.25,0.024,0.630212
1.25,5.5,1.25,0.84,0.44,0.03,0.6170160000000001
1.25,5.5,1.25,0.275,0.47,0.032,0.616042
1.25,5.5,1.25,0.055,0.36,0.03,0.6190919999999999
1.25,5.5,1.25,0.5,0.305,0.02,0.6252719999999999
1.25,5.5,1.25,0.615,0.415,0.032,0.618328
1.25,5.5,1.5,0.945,0.25,0.024,0.6316940000000001
1.25,5.5,1.5,0.84,0.44,0.022,0.618104
1.25,5.5,1.5,0.275,0.47,0.03,0.6171279999999999
1.25,5.5,1.5,0.055,0.36,0.03,0.619036
1.25,5.5,1.5,0.5,0.305,0.024,0.6255799999999999
1.25,5.5,1.5,0.615,0.415,0.028,0.6193679999999999
1.25,5.5,2.0,0.945,0.25,0.022,0.6353919999999998
1.25,5.5,2.0,0.84,0.44,0.03,0.6199439999999999
1.25,5.5,2.0,0.275,0.47,0.036,0.617306
1.25,5.5,2.0,0.055,0.36,0.026,0.619454
1.25,5.5,2.0,0.5,0.305,0.028,0.628526
1.25,5.5,2.0,0.615,0.415,0.026,0.620918
1.25,6.0,0.0,0.945,0.25,0.034,0.6155440000000001
1.25,6.0,0.0,0.84,0.44,0.034,0.6155440000000001
1.25,6.0,0.0,0.275,0.47,0.034,0.6155440000000001
1.25,6.0,0.0,0.055,0.36,0.026,0.622912
1.25,6.0,0.0,0.5,0.305,0.034,0.6155440000000001
1.25,6.0,0.0,0.615,0.415,0.034,0.6155440000000001
1.25,6.0,0.25,0.945,0.25,0.022,0.6225740000000001
1.25,6.0,0.25,0.84,0.44,0.03,0.618952
1.25,6.0,0.25,0.275,0.47,0.028,0.61881
