p,q,tau,R0,is_monotonic,max_drop,n_violating_steps,n_delay_points
0.055,0.36,2.5,1.125,True,-0.00046600000000007746,0,8
0.055,0.36,2.5,1.25,True,-0.0009799999999999809,0,8
0.055,0.36,2.5,1.3125,True,-0.0011459999999998693,0,8
0.055,0.36,2.5,1.375,True,-0.00041199999999996795,0,8
0.055,0.36,2.5,1.4375,True,-0.0010459999999999914,0,8
0.055,0.36,2.5,1.5,True,-0.0005939999999999834,0,8
0.055,0.36,2.5,1.75,True,-0.00024599999999996847,0,8
0.055,0.36,3.0,1.125,True,-0.0007560000000000344,0,8
0.055,0.36,3.0,1.25,True,-0.0005180000000000184,0,8
0.055,0.36,3.0,1.3125,True,-0.00039199999999994795,0,8
0.055,0.36,3.0,1.375,True,-0.0008819999999999384,0,8
0.055,0.36,3.0,1.4375,True,-0.00045399999999995444,0,8
0.055,0.36,3.0,1.5,True,-0.0004980000000001095,0,8
0.055,0.36,3.0,1.75,True,-0.00024999999999997247,0,8
0.055,0.36,3.5,1.125,True,-0.00015399999999993197,0,8
0.055,0.36,3.5,1.25,True,-0.00031599999999998296,0,8
0.055,0.36,3.5,1.3125,True,0.000216000000000105,0,8
0.055,0.36,3.5,1.375,True,-0.0008460000000000134,0,8
0.055,0.36,3.5,1.4375,True,-0.0007300000000000084,0,8
0.055,0.36,3.5,1.5,True,-0.0002020000000001465,0,8
0.055,0.36,3.5,1.75,True,-0.0003700000000000925,0,8
0.055,0.36,4.0,1.125,True,-0.00010799999999988596,0,8
0.055,0.36,4.0,1.25,True,0.00019399999999991646,0,8
0.055,0.36,4.0,1.3125,True,-0.0003540000000001875,0,8
0.055,0.36,4.0,1.375,True,-0.000184000000000073,0,8
0.055,0.36,4.0,1.4375,True,-0.000268000000000046,0,8
0.055,0.36,4.0,1.5,True,-0.0006559999999999899,0,8
0.055,0.36,4.0,1.75,True,-0.0007160000000000499,0,8
0.055,0.36,4.5,1.125,True,-3.399999999997849e-05,0,8
0.055,0.36,4.5,1.25,True,-0.00045200000000000795,0,8
0.055,0.36,4.5,1.3125,True,-0.00034199999999995345,0,8
0.055,0.36,4.5,1.375,True,-0.0004999999999999449,0,8
0.055,0.36,4.5,1.4375,True,-0.000176000000000065,0,8
0.055,0.36,4.5,1.5,True,-0.00041399999999991444,0,8
0.055,0.36,4.5,1.75,True,-7.999999999985796e-05,0,8
0.055,0.36,5.0,1.125,True,2.6000000000081513e-05,0,8
0.055,0.36,5.0,1.25,True,-8.000000000008e-06,0,8
0.055,0.36,5.0,1.3125,True,-0.0001100000000000545,0,8
0.055,0.36,5.0,1.375,True,-0.00034599999999984643,0,8
0.055,0.36,5.0,1.4375,True,-7.00000000000145e-05,0,8
0.055,0.36,5.0,1.5,True,-0.00014599999999997948,0,8
0.055,0.36,5.0,1.75,True,-0.00020200000000003548,0,8
0.055,0.36,5.5,1.125,True,-0.000152000000000041,0,8
0.055,0.36,5.5,1.25,True,-5.599999999983396e-05,0,8
