p,q,R0,beta,gamma,tau,delay,I_crit,I_crit_ci_low,I_crit_ci_high,frac_no_crossing,reason,n_runs
0.945,0.25,1.125,1.125,1.0,2.5,0.0,,,,1.0,no_crossing,50
0.945,0.25,1.125,1.125,1.0,2.5,0.25,0.102,0.102,0.1133499999999998,0.0,ok,50
0.945,0.25,1.125,1.125,1.0,2.5,0.5,0.098,0.098,0.103,0.0,ok,50
0.945,0.25,1.25,1.25,1.0,2.5,0.0,0.151,0.151,0.1601999999999999,0.0,ok,50
0.945,0.25,1.25,1.25,1.0,2.5,0.25,0.11,0.11,0.124,0.0,ok,50
0.945,0.25,1.25,1.25,1.0,2.5,0.5,0.097,0.097,0.101,0.0,ok,50
0.84,0.44,1.125,1.125,1.0,2.5,0.0,,,,1.0,no_crossing,50
0.84,0.44,1.125,1.125,1.0,2.5,0.25,0.12,0.12,0.12,0.3349999999999999,ok,50
0.84,0.44,1.125,1.125,1.0,2.5,0.5,0.12,0.12,0.139,0.01,ok,50
0.84,0.44,1.25,1.25,1.0,2.5,0.0,0.151,0.151,0.16,0.0,ok,50
0.84,0.44,1.25,1.25,1.0,2.5,0.25,0.132,0.132,0.139,0.0,ok,50
0.84,0.44,1.25,1.25,1.0,2.5,0.5,0.129,0.129,0.133,0.0,ok,50
0.945,0.25,1.125,1.125,1.0,2.5,0.75,0.089,0.089,0.092,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,2.5,1.0,0.077,0.077,0.087,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,2.5,1.25,0.077,0.077,0.085,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,2.5,1.5,0.075,0.075,0.078,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,2.5,2.0,0.085,0.085,0.087,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.0,0.0,0.111,0.111,0.13,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.0,0.25,0.081,0.081,0.0920999999999999,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.0,0.5,0.077,0.077,0.087,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.0,0.75,0.076,0.076,0.078,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.0,1.0,0.069,0.069,0.076,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.0,1.25,0.072,0.072,0.075,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.0,1.5,0.074,0.074,0.075,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.0,2.0,0.062,0.062,0.068,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.5,0.0,0.077,0.077,0.081,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.5,0.25,0.067,0.067,0.077,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.5,0.5,0.06,0.06,0.06509999999999991,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.5,0.75,0.049,0.049,0.061,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.5,1.0,0.059,0.059,0.06104999999999995,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.5,1.25,0.059,0.059,0.061,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.5,1.5,0.053,0.053,0.061,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,3.5,2.0,0.056,0.056,0.061,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,4.0,0.0,0.049,0.049,0.056,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,4.0,0.25,0.047,0.047,0.054,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,4.0,0.5,0.047,0.047,0.052,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,4.0,0.75,0.047,0.047,0.049,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,4.0,1.0,0.039,0.039,0.047099999999999906,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,4.0,1.25,0.042,0.042,0.049,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,4.0,1.5,0.047,0.047,0.049,0.0,ok,500
0.945,0.25,1.125,1.125,1.0,4.0,2.0,0.042,0.042,0.049,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,2.5,0.75,0.084,0.084,0.089,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,2.5,1.0,0.079,0.079,0.087,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,2.5,1.25,0.082,0.082,0.084,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,2.5,1.5,0.083,0.083,0.08604999999999995,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,2.5,2.0,0.079,0.079,0.086,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.0,0.0,0.089,0.089,0.106,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.0,0.25,0.081,0.081,0.086,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.0,0.5,0.073,0.073,0.076,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.0,0.75,0.073,0.073,0.076,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.0,1.0,0.073,0.073,0.075,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.0,1.25,0.072,0.072,0.074,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.0,1.5,0.073,0.073,0.075,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.0,2.0,0.073,0.073,0.074,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.5,0.0,0.061,0.061,0.066,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.5,0.25,0.061,0.061,0.066,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.5,0.5,0.061,0.061,0.066,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.5,0.75,0.056,0.056,0.061,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.5,1.0,0.055,0.055,0.063,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.5,1.25,0.055,0.055,0.057,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.5,1.5,0.051,0.051,0.057,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,3.5,2.0,0.056,0.056,0.061,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,4.0,0.0,0.045,0.045,0.049,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,4.0,0.25,0.04,0.04,0.049,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,4.0,0.5,0.04,0.04,0.047,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,4.0,0.75,0.045,0.045,0.047,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,4.0,1.0,0.04,0.04,0.047,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,4.0,1.25,0.04,0.04,0.045,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,4.0,1.5,0.04,0.04,0.045,0.0,ok,500
0.945,0.25,1.25,1.25,1.0,4.0,2.0,0.04,0.04,0.042,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,2.5,0.0,0.131,0.131,0.138,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,2.5,0.25,0.088,0.088,0.097,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,2.5,0.5,0.088,0.088,0.093,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,2.5,0.75,0.088,0.088,0.092,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,2.5,1.0,0.088,0.088,0.092,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,2.5,1.25,0.088,0.088,0.092,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,2.5,1.5,0.087,0.087,0.092,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,2.5,2.0,0.086,0.086,0.092,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.0,0.0,0.09,0.09,0.098,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.0,0.25,0.082,0.082,0.09,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.0,0.5,0.082,0.082,0.085,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.0,0.75,0.08,0.08,0.082,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.0,1.0,0.082,0.082,0.085,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.0,1.25,0.068,0.068,0.08214999999999986,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.0,1.5,0.068,0.068,0.085,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.0,2.0,0.068,0.068,0.085,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.5,0.0,0.07,0.07,0.074,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.5,0.25,0.063,0.063,0.073,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.5,0.5,0.063,0.063,0.072,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.5,0.75,0.063,0.063,0.071,0.0,ok,500
0.945,0.25,1.3125,1.3125,1.0,3.5,1.0,0.063,0.063,0.071,0.0,ok,500
