p,q,tau,R0,is_monotonic,max_drop
0.055,0.36,0.5,1.125,True,0.0
0.055,0.36,0.5,1.25,True,0.0
0.055,0.36,0.5,1.3125,True,0.0
0.055,0.36,0.5,1.375,True,0.0
0.055,0.36,0.5,1.4375,True,0.0
0.055,0.36,0.5,1.5,True,0.0
0.055,0.36,0.5,1.75,True,0.0
0.055,0.36,1.0,1.125,True,0.0
0.055,0.36,1.0,1.25,True,0.0
0.055,0.36,1.0,1.3125,True,0.0
0.055,0.36,1.0,1.375,True,0.0
0.055,0.36,1.0,1.4375,True,0.0
0.055,0.36,1.0,1.5,True,-0.00034000000000000696
0.055,0.36,1.0,1.75,True,0.0
0.055,0.36,1.5,1.125,True,-0.0009499999999998954
0.055,0.36,1.5,1.25,True,0.0
0.055,0.36,1.5,1.3125,True,-0.0007859999999999534
0.055,0.36,1.5,1.375,True,-0.0017419999999999103
0.055,0.36,1.5,1.4375,True,-0.0010059999999998959
0.055,0.36,1.5,1.5,True,-0.00025199999999991896
0.055,0.36,1.5,1.75,True,-0.003261999999999987
0.055,0.36,2.0,1.125,True,-0.0014360000000001039
0.055,0.36,2.0,1.25,True,-0.0011700000000000044
0.055,0.36,2.0,1.3125,True,-0.0006420000000000314
0.055,0.36,2.0,1.375,True,-0.0014720000000000288
0.055,0.36,2.0,1.4375,True,-0.0005620000000001735
0.055,0.36,2.0,1.5,True,-0.001176000000000177
0.055,0.36,2.0,1.75,True,-0.0005399999999999849
0.275,0.47,0.5,1.125,True,0.0
0.275,0.47,0.5,1.25,True,0.0
0.275,0.47,0.5,1.3125,True,0.0
0.275,0.47,0.5,1.375,True,0.0
0.275,0.47,0.5,1.4375,True,0.0
0.275,0.47,0.5,1.5,True,0.0
0.275,0.47,0.5,1.75,True,0.0
0.275,0.47,1.0,1.125,True,0.0
0.275,0.47,1.0,1.25,True,-0.0009759999999999769
0.275,0.47,1.0,1.3125,True,-0.0009099999999999664
0.275,0.47,1.0,1.375,True,-0.002873999999999932
0.275,0.47,1.0,1.4375,True,-0.0035820000000000296
0.275,0.47,1.0,1.5,True,-0.004386000000000001
0.275,0.47,1.0,1.75,True,-0.011846000000000023
0.275,0.47,1.5,1.125,True,-0.0019299999999999873
0.275,0.47,1.5,1.25,True,-0.0031100000000000017
0.275,0.47,1.5,1.3125,True,-0.005434000000000105
0.275,0.47,1.5,1.375,True,-0.006294000000000077
0.275,0.47,1.5,1.4375,True,-0.008872000000000102
0.275,0.47,1.5,1.5,True,-0.01089999999999991
0.275,0.47,1.5,1.75,True,-0.013871999999999995
0.275,0.47,2.0,1.125,True,-0.005862000000000089
0.275,0.47,2.0,1.25,True,-0.007699999999999985
0.275,0.47,2.0,1.3125,True,-0.00861400000000001
0.275,0.47,2.0,1.375,True,-0.008287999999999851
0.275,0.47,2.0,1.4375,True,-0.011307999999999985
0.275,0.47,2.0,1.5,True,-0.012296000000000085
0.275,0.47,2.0,1.75,True,-0.012037999999999993
0.5,0.305,0.5,1.125,True,0.0
0.5,0.305,0.5,1.25,True,0.0
0.5,0.305,0.5,1.3125,True,0.0
0.5,0.305,0.5,1.375,True,0.0
0.5,0.305,0.5,1.4375,True,0.0
0.5,0.305,0.5,1.5,True,0.0
0.5,0.305,0.5,1.75,True,-0.004030000000000089
0.5,0.305,1.0,1.125,True,0.0
0.5,0.305,1.0,1.25,True,-0.007431999999999994
0.5,0.305,1.0,1.3125,True,-0.012927999999999995
0.5,0.305,1.0,1.375,True,-0.016045999999999894
0.5,0.305,1.0,1.4375,False,-0.020278000000000018
0.5,0.305,1.0,1.5,False,-0.02779799999999988
0.5,0.305,1.0,1.75,False,-0.039232000000000045
0.5,0.305,1.5,1.125,True,-0.006828000000000001
0.5,0.305,1.5,1.25,True,-0.013561999999999963
0.5,0.305,1.5,1.3125,True,-0.015643999999999936
0.5,0.305,1.5,1.375,True,-0.01991799999999999
0.5,0.305,1.5,1.4375,False,-0.020595999999999837
0.5,0.305,1.5,1.5,False,-0.02531799999999984
0.5,0.305,1.5,1.75,False,-0.028603999999999963
0.5,0.305,2.0,1.125,True,-0.016290000000000082
0.5,0.305,2.0,1.25,True,-0.018324000000000062
0.5,0.305,2.0,1.3125,False,-0.023405999999999927
0.5,0.305,2.0,1.375,False,-0.025415999999999994
0.5,0.305,2.0,1.4375,False,-0.027572000000000152
0.5,0.305,2.0,1.5,False,-0.0296280000000001
0.5,0.305,2.0,1.75,False,-0.026086000000000054
0.615,0.415,0.5,1.125,True,0.0
0.615,0.415,0.5,1.25,True,0.0
0.615,0.415,0.5,1.3125,True,0.0
0.615,0.415,0.5,1.375,True,0.0
0.615,0.415,0.5,1.4375,True,0.0
0.615,0.415,0.5,1.5,True,0.0
0.615,0.415,0.5,1.75,True,0.0
0.615,0.415,1.0,1.125,True,0.0
0.615,0.415,1.0,1.25,True,-0.0006500000000000394
0.615,0.415,1.0,1.3125,True,-0.0015639999999999543
0.615,0.415,1.0,1.375,True,-0.006183999999999912
0.615,0.415,1.0,1.4375,True,-0.008977999999999875
0.615,0.415,1.0,1.5,True,-0.011480000000000046
0.615,0.415,1.0,1.75,True,-0.018961999999999923
0.615,0.415,1.5,1.125,True,-0.003256000000000092
0.615,0.415,1.5,1.25,True,-0.006158000000000052
0.615,0.415,1.5,1.3125,True,-0.007399999999999962
0.615,0.415,1.5,1.375,True,-0.010124000000000022
0.615,0.415,1.5,1.4375,True,-0.012127999999999972
0.615,0.415,1.5,1.5,True,-0.013163999999999954
0.615,0.415,1.5,1.75,False,-0.024445999999999968
0.615,0.415,2.0,1.125,True,-0.006924000000000097
0.615,0.415,2.0,1.25,True,-0.01144400000000001
0.615,0.415,2.0,1.3125,True,-0.013800000000000145
0.615,0.415,2.0,1.375,True,-0.017477999999999883
0.615,0.415,2.0,1.4375,False,-0.02150200000000002
0.615,0.415,2.0,1.5,False,-0.02128399999999997
0.615,0.415,2.0,1.75,False,-0.031233999999999873
0.84,0.44,0.5,1.125,True,0.0
0.84,0.44,0.5,1.25,True,0.0
0.84,0.44,0.5,1.3125,True,0.0
0.84,0.44,0.5,1.375,True,0.0
0.84,0.44,0.5,1.4375,True,0.0
0.84,0.44,0.5,1.5,True,0.0
0.84,0.44,0.5,1.75,True,0.0
0.84,0.44,1.0,1.125,True,0.0
0.84,0.44,1.0,1.25,True,0.0
0.84,0.44,1.0,1.3125,True,-0.0013860000000001094
0.84,0.44,1.0,1.375,True,-0.005481999999999987
0.84,0.44,1.0,1.4375,True,-0.008606000000000003
0.84,0.44,1.0,1.5,True,-0.009206000000000047
0.84,0.44,1.0,1.75,False,-0.021550000000000014
0.84,0.44,1.5,1.125,True,-0.0029980000000000007
0.84,0.44,1.5,1.25,True,-0.005632000000000026
0.84,0.44,1.5,1.3125,True,-0.006691999999999976
0.84,0.44,1.5,1.375,True,-0.009906000000000026
0.84,0.44,1.5,1.4375,True,-0.009253999999999929
0.84,0.44,1.5,1.5,True,-0.013156000000000057
0.84,0.44,1.5,1.75,True,-0.01969399999999999
0.84,0.44,2.0,1.125,True,-0.007054000000000005
0.84,0.44,2.0,1.25,True,-0.012396000000000018
0.84,0.44,2.0,1.3125,True,-0.012927999999999995
0.84,0.44,2.0,1.375,True,-0.0146099999999999
0.84,0.44,2.0,1.4375,True,-0.01651999999999998
0.84,0.44,2.0,1.5,False,-0.020589999999999997
0.84,0.44,2.0,1.75,False,-0.02682400000000007
0.945,0.25,0.5,1.125,True,0.0
0.945,0.25,0.5,1.25,True,0.0
0.945,0.25,0.5,1.3125,True,0.0
0.945,0.25,0.5,1.375,True,0.0
0.945,0.25,0.5,1.4375,True,0.0
0.945,0.25,0.5,1.5,True,0.0
0.945,0.25,0.5,1.75,False,-0.026275999999999855
0.945,0.25,1.0,1.125,True,-0.00011399999999983645
0.945,0.25,1.0,1.25,True,-0.012938000000000005
0.945,0.25,1.0,1.3125,True,-0.019579999999999986
0.945,0.25,1.0,1.375,False,-0.023702
0.945,0.25,1.0,1.4375,False,-0.02612199999999998
0.945,0.25,1.0,1.5,False,-0.038885999999999865
0.945,0.25,1.0,1.75,False,-0.048404
0.945,0.25,1.5,1.125,True,-0.013680000000000025
0.945,0.25,1.5,1.25,True,-0.017018000000000033
0.945,0.25,1.5,1.3125,False,-0.025433999999999957
0.945,0.25,1.5,1.375,False,-0.02551199999999998
0.945,0.25,1.5,1.4375,False,-0.03051400000000004
0.945,0.25,1.5,1.5,False,-0.03455599999999981
0.945,0.25,1.5,1.75,False,-0.043672000000000044
0.945,0.25,2.0,1.125,True,-0.01891799999999999
0.945,0.25,2.0,1.25,False,-0.03128999999999993
0.945,0.25,2.0,1.3125,False,-0.040398000000000156
0.945,0.25,2.0,1.375,False,-0.040131999999999945
0.945,0.25,2.0,1.4375,False,-0.04831399999999997
0.945,0.25,2.0,1.5,False,-0.04971199999999987
0.945,0.25,2.0,1.75,False,-0.057069999999999954
