p,q,tau,mean,std,median,min,max
0.9,0.45,3,0.247529,0.023370390647141522,0.248,0.18,0.328
0.8,0.4,3,0.248618,0.03043530969121228,0.248,0.187,0.596
0.6,0.425,3,0.2638150000000001,0.05616017071733312,0.248,0.184,0.577
1.0,0.25,3,0.5633689999999999,0.255606261345453,0.7064999999999999,0.19,0.881
0.8,0.3,3,0.46209500000000003,0.19725826212100725,0.521,0.175,0.798
0.6,0.35,3,0.40761000000000003,0.1254085798500246,0.421,0.176,0.666
0.4,0.4,3,0.391402,0.07333813739112822,0.395,0.176,0.618
0.2,0.45,3,0.38361,0.04735413287137671,0.383,0.231,0.527
0.0,0.5,3,0.378952,0.036534335849991856,0.379,0.261,0.502
1.0,0.15,3,0.8288139999999999,0.0394144060465206,0.834,0.673,0.927
0.8,0.2,3,0.7614970000000001,0.05289903582297129,0.768,0.561,0.903
0.6,0.25,3,0.6589459999999999,0.06690250431785046,0.665,0.293,0.826
0.4,0.3,3,0.552613,0.06770429255963022,0.557,0.328,0.739
0.2,0.35,3,0.485594,0.05403181621970522,0.486,0.329,0.643
0.0,0.4,3,0.444687,0.04307838240927809,0.446,0.312,0.577
1.0,0.0,3,0.894775,0.024015502805479646,0.897,0.783,0.962
0.8,0.05,3,0.8718579999999999,0.02801677775905004,0.874,0.745,0.946
0.6,0.1,3,0.8333829999999999,0.03436262957050871,0.836,0.696,0.915
0.4,0.15,3,0.7714570000000001,0.0422643839538683,0.775,0.613,0.874
0.2,0.2,3,0.6878650000000001,0.049549922048374606,0.691,0.486,0.816
0.0,0.25,3,0.603826,0.047705720034394196,0.605,0.427,0.74
0.1,0.05,3,0.854914,0.029418575832286655,0.857,0.742,0.926
0.2,0.125,3,0.782866,0.039506835408572014,0.785,0.62,0.887
0.4,0.025,3,0.878951,0.026559943505211014,0.882,0.777,0.946
