R0,tau,delay,p,q,prob_dieout,mean_R_inf
0.5,0.25,0.0,0.9,0.22,1.0,0.06176
0.5,0.25,0.0,0.84,0.44,1.0,0.06176
0.5,0.25,0.0,0.52,0.09,1.0,0.1136
0.5,0.25,0.0,0.28,0.31,1.0,0.06352000000000001
0.5,0.25,0.25,0.9,0.22,1.0,0.08448
0.5,0.25,0.25,0.84,0.44,1.0,0.07248
0.5,0.25,0.25,0.52,0.09,1.0,0.11744
0.5,0.25,0.25,0.28,0.31,1.0,0.0752
0.5,0.25,0.5,0.9,0.22,1.0,0.08448
0.5,0.25,0.5,0.84,0.44,1.0,0.07248
0.5,0.25,0.5,0.52,0.09,1.0,0.11744
0.5,0.25,0.5,0.28,0.31,1.0,0.0752
0.5,0.25,0.75,0.9,0.22,1.0,0.08448
0.5,0.25,0.75,0.84,0.44,1.0,0.07248
0.5,0.25,0.75,0.52,0.09,1.0,0.11744
0.5,0.25,0.75,0.28,0.31,1.0,0.0752
0.5,0.25,1.0,0.9,0.22,1.0,0.08448
0.5,0.25,1.0,0.84,0.44,1.0,0.07248
0.5,0.25,1.0,0.52,0.09,1.0,0.11744
0.5,0.25,1.0,0.28,0.31,1.0,0.0752
0.5,0.25,1.25,0.9,0.22,1.0,0.08448
0.5,0.25,1.25,0.84,0.44,1.0,0.07248
0.5,0.25,1.25,0.52,0.09,1.0,0.11744
0.5,0.25,1.25,0.28,0.31,1.0,0.0752
0.5,0.25,1.5,0.9,0.22,1.0,0.08448
0.5,0.25,1.5,0.84,0.44,1.0,0.07248
0.5,0.25,1.5,0.52,0.09,1.0,0.11744
0.5,0.25,1.5,0.28,0.31,1.0,0.0752
0.5,0.25,2.0,0.9,0.22,1.0,0.08448
0.5,0.25,2.0,0.84,0.44,1.0,0.07248
0.5,0.25,2.0,0.52,0.09,1.0,0.11744
0.5,0.25,2.0,0.28,0.31,1.0,0.0752
0.5,0.5,0.0,0.9,0.22,1.0,0.07680000000000001
0.5,0.5,0.0,0.84,0.44,1.0,0.07680000000000001
0.5,0.5,0.0,0.52,0.09,1.0,0.11616
0.5,0.5,0.0,0.28,0.31,1.0,0.07936
0.5,0.5,0.25,0.9,0.22,1.0,0.10064000000000002
0.5,0.5,0.25,0.84,0.44,1.0,0.08592000000000001
0.5,0.5,0.25,0.52,0.09,1.0,0.12560000000000002
0.5,0.5,0.25,0.28,0.31,1.0,0.09408000000000001
0.5,0.5,0.5,0.9,0.22,1.0,0.10496000000000003
0.5,0.5,0.5,0.84,0.44,1.0,0.09183999999999999
0.5,0.5,0.5,0.52,0.09,1.0,0.13504000000000002
0.5,0.5,0.5,0.28,0.31,1.0,0.10096000000000002
0.5,0.5,0.75,0.9,0.22,1.0,0.10496000000000003
0.5,0.5,0.75,0.84,0.44,1.0,0.09183999999999999
0.5,0.5,0.75,0.52,0.09,1.0,0.13504000000000002
0.5,0.5,0.75,0.28,0.31,1.0,0.10096000000000002
0.5,0.5,1.0,0.9,0.22,1.0,0.10496000000000003
0.5,0.5,1.0,0.84,0.44,1.0,0.09183999999999999
0.5,0.5,1.0,0.52,0.09,1.0,0.13504000000000002
0.5,0.5,1.0,0.28,0.31,1.0,0.10096000000000002
0.5,0.5,1.25,0.9,0.22,1.0,0.10496000000000003
0.5,0.5,1.25,0.84,0.44,1.0,0.09183999999999999
0.5,0.5,1.25,0.52,0.09,1.0,0.13504000000000002
0.5,0.5,1.25,0.28,0.31,1.0,0.10096000000000002
0.5,0.5,1.5,0.9,0.22,1.0,0.10496000000000003
0.5,0.5,1.5,0.84,0.44,1.0,0.09183999999999999
0.5,0.5,1.5,0.52,0.09,1.0,0.13504000000000002
0.5,0.5,1.5,0.28,0.31,1.0,0.10096000000000002
0.5,0.5,2.0,0.9,0.22,1.0,0.10496000000000003
0.5,0.5,2.0,0.84,0.44,1.0,0.09183999999999999
0.5,0.5,2.0,0.52,0.09,1.0,0.13504000000000002
0.5,0.5,2.0,0.28,0.31,1.0,0.10096000000000002
0.5,0.75,0.0,0.9,0.22,1.0,0.08848
0.5,0.75,0.0,0.84,0.44,1.0,0.08848
0.5,0.75,0.0,0.52,0.09,1.0,0.11600000000000002
0.5,0.75,0.0,0.28,0.31,1.0,0.09119999999999999
0.5,0.75,0.25,0.9,0.22,1.0,0.10624
0.5,0.75,0.25,0.84,0.44,1.0,0.09776000000000001
0.5,0.75,0.25,0.52,0.09,1.0,0.13008
0.5,0.75,0.25,0.28,0.31,1.0,0.10048
0.5,0.75,0.5,0.9,0.22,1.0,0.11584
0.5,0.75,0.5,0.84,0.44,1.0,0.10656
0.5,0.75,0.5,0.52,0.09,1.0,0.13552
0.5,0.75,0.5,0.28,0.31,1.0,0.11184
0.5,0.75,0.75,0.9,0.22,1.0,0.12096
0.5,0.75,0.75,0.84,0.44,1.0,0.10896
0.5,0.75,0.75,0.52,0.09,1.0,0.14544
0.5,0.75,0.75,0.28,0.31,1.0,0.11488000000000001
0.5,0.75,1.0,0.9,0.22,1.0,0.12096
0.5,0.75,1.0,0.84,0.44,1.0,0.10896
0.5,0.75,1.0,0.52,0.09,1.0,0.14544
0.5,0.75,1.0,0.28,0.31,1.0,0.11488000000000001
0.5,0.75,1.25,0.9,0.22,1.0,0.12096
0.5,0.75,1.25,0.84,0.44,1.0,0.10896
0.5,0.75,1.25,0.52,0.09,1.0,0.14544
0.5,0.75,1.25,0.28,0.31,1.0,0.11488000000000001
0.5,0.75,1.5,0.9,0.22,1.0,0.12096
0.5,0.75,1.5,0.84,0.44,1.0,0.10896
0.5,0.75,1.5,0.52,0.09,1.0,0.14544
0.5,0.75,1.5,0.28,0.31,1.0,0.11488000000000001
0.5,0.75,2.0,0.9,0.22,1.0,0.12096
0.5,0.75,2.0,0.84,0.44,1.0,0.10896
0.5,0.75,2.0,0.52,0.09,1.0,0.14544
0.5,0.75,2.0,0.28,0.31,1.0,0.11488000000000001
0.5,1.0,0.0,0.9,0.22,1.0,0.09920000000000001
0.5,1.0,0.0,0.84,0.44,1.0,0.09920000000000001
0.5,1.0,0.0,0.52,0.09,1.0,0.13104
0.5,1.0,0.0,0.28,0.31,1.0,0.10128
0.5,1.0,0.25,0.9,0.22,1.0,0.10944
0.5,1.0,0.25,0.84,0.44,1.0,0.10496
0.5,1.0,0.25,0.52,0.09,1.0,0.13312000000000002
0.5,1.0,0.25,0.28,0.31,1.0,0.10991999999999999
0.5,1.0,0.5,0.9,0.22,1.0,0.11871999999999999
0.5,1.0,0.5,0.84,0.44,1.0,0.11008
0.5,1.0,0.5,0.52,0.09,1.0,0.14288
0.5,1.0,0.5,0.28,0.31,1.0,0.11952
0.5,1.0,0.75,0.9,0.22,1.0,0.13472
0.5,1.0,0.75,0.84,0.44,1.0,0.11728
0.5,1.0,0.75,0.52,0.09,1.0,0.14912
0.5,1.0,0.75,0.28,0.31,1.0,0.12768000000000002
0.5,1.0,1.0,0.9,0.22,1.0,0.13248000000000001
0.5,1.0,1.0,0.84,0.44,1.0,0.11824
0.5,1.0,1.0,0.52,0.09,1.0,0.15408
0.5,1.0,1.0,0.28,0.31,1.0,0.12544
0.5,1.0,1.25,0.9,0.22,1.0,0.13248000000000001
0.5,1.0,1.25,0.84,0.44,1.0,0.11824
0.5,1.0,1.25,0.52,0.09,1.0,0.15408
