tau,delay,p,q,prob_large,mean_R_inf,std_R_inf
2,0.0,0.0,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.0,0.05555555555555555,1.0,0.846624,0.030889013396260778
2,0.0,0.0,0.1111111111111111,1.0,0.778552,0.04107441693935082
2,0.0,0.0,0.16666666666666666,1.0,0.7019000000000001,0.046326781484697634
2,0.0,0.0,0.2222222222222222,1.0,0.60918,0.049672457278135476
2,0.0,0.0,0.2777777777777778,1.0,0.525016,0.052183255096341
2,0.0,0.0,0.3333333333333333,0.972,0.45220799999999994,0.05024786690511405
2,0.0,0.0,0.38888888888888884,0.824,0.391792,0.04239682415930681
2,0.0,0.0,0.4444444444444444,0.428,0.345368,0.037733377893171924
2,0.0,0.0,0.5,0.1,0.30964800000000003,0.032831627419854535
2,0.0,0.1111111111111111,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.1111111111111111,0.05555555555555555,1.0,0.8480840000000001,0.02961148941240349
2,0.0,0.1111111111111111,0.1111111111111111,1.0,0.78372,0.03697868701255751
2,0.0,0.1111111111111111,0.16666666666666666,1.0,0.707336,0.04414323964579064
2,0.0,0.1111111111111111,0.2222222222222222,1.0,0.612668,0.05217569345923259
2,0.0,0.1111111111111111,0.2777777777777778,0.992,0.5287280000000001,0.055448789789828846
2,0.0,0.1111111111111111,0.3333333333333333,0.96,0.44348000000000004,0.05368764338475694
2,0.0,0.1111111111111111,0.38888888888888884,0.744,0.378452,0.04327403684728571
2,0.0,0.1111111111111111,0.4444444444444444,0.24,0.32424800000000004,0.04099341821987277
2,0.0,0.1111111111111111,0.5,0.056,0.28536,0.037663997488680205
2,0.0,0.2222222222222222,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.2222222222222222,0.05555555555555555,1.0,0.8490079999999999,0.03070954641416665
2,0.0,0.2222222222222222,0.1111111111111111,1.0,0.7892239999999999,0.03781414367465416
2,0.0,0.2222222222222222,0.16666666666666666,1.0,0.714672,0.04597140301951128
2,0.0,0.2222222222222222,0.2222222222222222,1.0,0.6247999999999999,0.057389110815211634
2,0.0,0.2222222222222222,0.2777777777777778,0.996,0.52676,0.059947085100513366
2,0.0,0.2222222222222222,0.3333333333333333,0.88,0.42858,0.06449261032977807
2,0.0,0.2222222222222222,0.38888888888888884,0.496,0.35301200000000005,0.0551022767188289
2,0.0,0.2222222222222222,0.4444444444444444,0.136,0.29029200000000005,0.05298843110835894
2,0.0,0.2222222222222222,0.5,0.008,0.24584,0.041822612588105726
2,0.0,0.3333333333333333,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.3333333333333333,0.05555555555555555,1.0,0.8552040000000001,0.030458385330607907
2,0.0,0.3333333333333333,0.1111111111111111,1.0,0.797648,0.03893734148923107
2,0.0,0.3333333333333333,0.16666666666666666,1.0,0.730164,0.04826218039236208
2,0.0,0.3333333333333333,0.2222222222222222,1.0,0.6337119999999999,0.0635909134475388
2,0.0,0.3333333333333333,0.2777777777777778,0.992,0.52804,0.07036358815575432
2,0.0,0.3333333333333333,0.3333333333333333,0.796,0.42178,0.07839609294829833
2,0.0,0.3333333333333333,0.38888888888888884,0.312,0.31207199999999996,0.07347044604306598
2,0.0,0.3333333333333333,0.4444444444444444,0.016,0.235792,0.05589502438503822
2,0.0,0.3333333333333333,0.5,0.0,0.193464,0.03689103546922977
2,0.0,0.4444444444444444,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.4444444444444444,0.05555555555555555,1.0,0.8576119999999999,0.030735519266449914
2,0.0,0.4444444444444444,0.1111111111111111,1.0,0.804032,0.0370984657451298
2,0.0,0.4444444444444444,0.16666666666666666,1.0,0.74122,0.044571629098361744
2,0.0,0.4444444444444444,0.2222222222222222,0.996,0.6487999999999999,0.06497883498481591
2,0.0,0.4444444444444444,0.2777777777777778,0.936,0.5165,0.09050448745225834
2,0.0,0.4444444444444444,0.3333333333333333,0.62,0.3685359999999999,0.10326089265451477
2,0.0,0.4444444444444444,0.38888888888888884,0.12,0.239536,0.08019594918111667
2,0.0,0.4444444444444444,0.4444444444444444,0.0,0.184144,0.031814397488404526
2,0.0,0.4444444444444444,0.5,0.0,0.177316,0.017289181797555238
2,0.0,0.5555555555555556,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.5555555555555556,0.05555555555555555,1.0,0.8616320000000001,0.029766976122372262
2,0.0,0.5555555555555556,0.1111111111111111,1.0,0.817388,0.037019552198533125
2,0.0,0.5555555555555556,0.16666666666666666,1.0,0.7501359999999999,0.04809534439642202
2,0.0,0.5555555555555556,0.2222222222222222,1.0,0.6575,0.0675186275056074
2,0.0,0.5555555555555556,0.2777777777777778,0.852,0.490952,0.1372846166175925
2,0.0,0.5555555555555556,0.3333333333333333,0.336,0.28517999999999993,0.1324141746740827
2,0.0,0.5555555555555556,0.38888888888888884,0.016,0.18525999999999998,0.04003573203224128
2,0.0,0.5555555555555556,0.4444444444444444,0.0,0.17728,0.017199327529583232
2,0.0,0.5555555555555556,0.5,0.0,0.17728,0.017199327529583232
2,0.0,0.6666666666666666,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.6666666666666666,0.05555555555555555,1.0,0.8647400000000001,0.028636771093028947
2,0.0,0.6666666666666666,0.1111111111111111,1.0,0.8210999999999999,0.03430494595927932
2,0.0,0.6666666666666666,0.16666666666666666,1.0,0.764884,0.04873350348010888
2,0.0,0.6666666666666666,0.2222222222222222,0.988,0.6655559999999999,0.09365097374578725
2,0.0,0.6666666666666666,0.2777777777777778,0.636,0.419512,0.2002369526456575
2,0.0,0.6666666666666666,0.3333333333333333,0.056,0.196176,0.07911493992208742
2,0.0,0.6666666666666666,0.38888888888888884,0.0,0.17728,0.017199327529583232
2,0.0,0.6666666666666666,0.4444444444444444,0.0,0.17728,0.017199327529583232
2,0.0,0.6666666666666666,0.5,0.0,0.17728,0.017199327529583232
2,0.0,0.7777777777777777,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.7777777777777777,0.05555555555555555,1.0,0.862308,0.030671552168904003
2,0.0,0.7777777777777777,0.1111111111111111,1.0,0.8294480000000001,0.036376866297228326
2,0.0,0.7777777777777777,0.16666666666666666,1.0,0.7768400000000001,0.046051202514288896
2,0.0,0.7777777777777777,0.2222222222222222,0.94,0.661716,0.1473674864011488
2,0.0,0.7777777777777777,0.2777777777777778,0.272,0.290928,0.20148531496011898
2,0.0,0.7777777777777777,0.3333333333333333,0.0,0.17728,0.017199327529583232
2,0.0,0.7777777777777777,0.38888888888888884,0.0,0.17728,0.017199327529583232
2,0.0,0.7777777777777777,0.4444444444444444,0.0,0.17728,0.017199327529583232
2,0.0,0.7777777777777777,0.5,0.0,0.17728,0.017199327529583232
2,0.0,0.8888888888888888,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.0,0.8888888888888888,0.05555555555555555,1.0,0.8697919999999999,0.028629553635456193
2,0.0,0.8888888888888888,0.1111111111111111,1.0,0.8346480000000001,0.03400006047714914
2,0.0,0.8888888888888888,0.16666666666666666,1.0,0.790616,0.04889276586793661
2,0.0,0.8888888888888888,0.2222222222222222,0.596,0.49974,0.28030562852273594
2,0.0,0.8888888888888888,0.2777777777777778,0.012,0.18402399999999997,0.06444255422607581
2,0.0,0.8888888888888888,0.3333333333333333,0.0,0.17728,0.017199327529583232
2,0.0,0.8888888888888888,0.38888888888888884,0.0,0.17728,0.017199327529583232
