p,q,tau,k,beta,gamma,mean_r_inf
0.0,0.0,5,3,0.4,0.2,0.88808
0.0,0.05555555555555555,5,4,0.4,0.2,0.9791199999999999
0.0,0.1111111111111111,5,3,0.4,0.2,0.7934399999999999
0.0,0.16666666666666666,5,4,0.4,0.2,0.95888
0.0,0.2222222222222222,5,3,0.4,0.2,0.7076
0.0,0.2777777777777778,5,3,0.4,0.2,0.64896
0.0,0.3333333333333333,5,3,0.4,0.2,0.6005600000000001
0.0,0.38888888888888884,5,3,0.4,0.2,0.54848
0.0,0.4444444444444444,5,4,0.4,0.2,0.89616
0.0,0.5,5,3,0.4,0.2,0.49463999999999997
0.1111111111111111,0.0,5,4,0.4,0.2,0.98336
0.1111111111111111,0.05555555555555555,5,3,0.4,0.2,0.8567199999999999
0.1111111111111111,0.1111111111111111,5,3,0.4,0.2,0.8042400000000001
0.1111111111111111,0.16666666666666666,5,4,0.4,0.2,0.96584
0.1111111111111111,0.2222222222222222,5,4,0.4,0.2,0.9559200000000001
0.1111111111111111,0.2777777777777778,5,3,0.4,0.2,0.62592
0.1111111111111111,0.3333333333333333,5,4,0.4,0.2,0.9369599999999998
0.1111111111111111,0.38888888888888884,5,3,0.4,0.2,0.5661600000000001
0.1111111111111111,0.4444444444444444,5,3,0.4,0.2,0.5279200000000001
0.1111111111111111,0.5,5,3,0.4,0.2,0.49039999999999995
0.2222222222222222,0.0,5,4,0.4,0.2,0.9807199999999999
0.2222222222222222,0.05555555555555555,5,4,0.4,0.2,0.9791200000000001
0.2222222222222222,0.1111111111111111,5,4,0.4,0.2,0.96864
0.2222222222222222,0.16666666666666666,5,4,0.4,0.2,0.9667999999999999
0.2222222222222222,0.2222222222222222,5,4,0.4,0.2,0.9575999999999999
0.2222222222222222,0.2777777777777778,5,3,0.4,0.2,0.6449600000000001
0.2222222222222222,0.3333333333333333,5,3,0.4,0.2,0.58448
0.2222222222222222,0.38888888888888884,5,4,0.4,0.2,0.92744
0.2222222222222222,0.4444444444444444,5,3,0.4,0.2,0.5243200000000001
0.2222222222222222,0.5,5,3,0.4,0.2,0.4852
0.3333333333333333,0.0,5,3,0.4,0.2,0.8762399999999999
0.3333333333333333,0.05555555555555555,5,3,0.4,0.2,0.85976
0.3333333333333333,0.1111111111111111,5,3,0.4,0.2,0.7931199999999998
0.3333333333333333,0.16666666666666666,5,4,0.4,0.2,0.9672
0.3333333333333333,0.2222222222222222,5,4,0.4,0.2,0.9611200000000001
0.3333333333333333,0.2777777777777778,5,3,0.4,0.2,0.6743199999999999
0.3333333333333333,0.3333333333333333,5,3,0.4,0.2,0.58568
0.3333333333333333,0.38888888888888884,5,4,0.4,0.2,0.9152
0.3333333333333333,0.4444444444444444,5,3,0.4,0.2,0.50136
0.3333333333333333,0.5,5,4,0.4,0.2,0.8828
0.4444444444444444,0.0,5,3,0.4,0.2,0.8895200000000001
0.4444444444444444,0.05555555555555555,5,4,0.4,0.2,0.9796799999999999
0.4444444444444444,0.1111111111111111,5,3,0.4,0.2,0.8122399999999999
0.4444444444444444,0.16666666666666666,5,3,0.4,0.2,0.7730400000000001
0.4444444444444444,0.2222222222222222,5,3,0.4,0.2,0.7365600000000001
0.4444444444444444,0.2777777777777778,5,4,0.4,0.2,0.9545600000000001
0.4444444444444444,0.3333333333333333,5,3,0.4,0.2,0.6008
0.4444444444444444,0.38888888888888884,5,3,0.4,0.2,0.53768
0.4444444444444444,0.4444444444444444,5,4,0.4,0.2,0.9104800000000001
0.4444444444444444,0.5,5,4,0.4,0.2,0.8904800000000002
0.5555555555555556,0.0,5,3,0.4,0.2,0.8849600000000001
0.5555555555555556,0.05555555555555555,5,3,0.4,0.2,0.8614400000000001
0.5555555555555556,0.1111111111111111,5,4,0.4,0.2,0.97104
0.5555555555555556,0.16666666666666666,5,4,0.4,0.2,0.96872
0.5555555555555556,0.2222222222222222,5,4,0.4,0.2,0.9608
0.5555555555555556,0.2777777777777778,5,3,0.4,0.2,0.67656
0.5555555555555556,0.3333333333333333,5,3,0.4,0.2,0.58976
0.5555555555555556,0.38888888888888884,5,4,0.4,0.2,0.92672
0.5555555555555556,0.4444444444444444,5,3,0.4,0.2,0.45583999999999997
0.5555555555555556,0.5,5,4,0.4,0.2,0.8968799999999999
0.6666666666666666,0.0,5,3,0.4,0.2,0.88712
0.6666666666666666,0.05555555555555555,5,4,0.4,0.2,0.97944
0.6666666666666666,0.1111111111111111,5,4,0.4,0.2,0.97344
0.6666666666666666,0.16666666666666666,5,4,0.4,0.2,0.9693599999999999
0.6666666666666666,0.2222222222222222,5,4,0.4,0.2,0.96016
0.6666666666666666,0.2777777777777778,5,4,0.4,0.2,0.9545600000000001
0.6666666666666666,0.3333333333333333,5,3,0.4,0.2,0.55744
0.6666666666666666,0.38888888888888884,5,3,0.4,0.2,0.50448
0.6666666666666666,0.4444444444444444,5,3,0.4,0.2,0.45248
0.6666666666666666,0.5,5,3,0.4,0.2,0.40912
0.7777777777777777,0.0,5,4,0.4,0.2,0.9844799999999999
0.7777777777777777,0.05555555555555555,5,3,0.4,0.2,0.8518399999999999
0.7777777777777777,0.1111111111111111,5,4,0.4,0.2,0.9755199999999999
0.7777777777777777,0.16666666666666666,5,4,0.4,0.2,0.9728799999999999
0.7777777777777777,0.2222222222222222,5,4,0.4,0.2,0.96536
0.7777777777777777,0.2777777777777778,5,3,0.4,0.2,0.66496
0.7777777777777777,0.3333333333333333,5,3,0.4,0.2,0.50888
0.7777777777777777,0.38888888888888884,5,3,0.4,0.2,0.49544
0.7777777777777777,0.4444444444444444,5,4,0.4,0.2,0.9259999999999999
0.7777777777777777,0.5,5,4,0.4,0.2,0.90904
0.8888888888888888,0.0,5,4,0.4,0.2,0.9824799999999999
0.8888888888888888,0.05555555555555555,5,4,0.4,0.2,0.97624
0.8888888888888888,0.1111111111111111,5,4,0.4,0.2,0.9743999999999999
0.8888888888888888,0.16666666666666666,5,3,0.4,0.2,0.7778399999999999
0.8888888888888888,0.2222222222222222,5,4,0.4,0.2,0.9680000000000001
0.8888888888888888,0.2777777777777778,5,4,0.4,0.2,0.9555199999999999
0.8888888888888888,0.3333333333333333,5,4,0.4,0.2,0.9547199999999999
0.8888888888888888,0.38888888888888884,5,3,0.4,0.2,0.4721599999999999
0.8888888888888888,0.4444444444444444,5,4,0.4,0.2,0.9203199999999999
0.8888888888888888,0.5,5,4,0.4,0.2,0.90224
1.0,0.0,5,3,0.4,0.2,0.9033600000000002
1.0,0.05555555555555555,5,4,0.4,0.2,0.9799199999999999
1.0,0.1111111111111111,5,4,0.4,0.2,0.9741599999999999
1.0,0.16666666666666666,5,3,0.4,0.2,0.7988000000000001
1.0,0.2222222222222222,5,3,0.4,0.2,0.7286400000000001
1.0,0.2777777777777778,5,4,0.4,0.2,0.95888
1.0,0.3333333333333333,5,3,0.4,0.2,0.5199199999999999
1.0,0.38888888888888884,5,4,0.4,0.2,0.9444
1.0,0.4444444444444444,5,4,0.4,0.2,0.9296000000000001
1.0,0.5,5,3,0.4,0.2,0.3876
