p,q,tau,k,beta,gamma,mean_r_inf
0.0,0.0,5,5,0.3177438550635451,0.29222040592102266,0.9632799999999999
0.0,0.05555555555555555,5,3,0.32098027794968403,0.3679840954784166,0.3401600000000001
0.0,0.1111111111111111,5,5,0.3383099231640035,0.1562904835371319,0.9940000000000001
0.0,0.16666666666666666,5,4,0.4218312199511918,0.2953760755227756,0.90848
0.0,0.2222222222222222,5,4,0.3642395574593121,0.15459188011993064,0.9677600000000001
0.0,0.2777777777777778,5,4,0.305910148372151,0.30448239916594133,0.7162400000000001
0.0,0.3333333333333333,5,5,0.45774245042784634,0.14021390693383673,0.9979199999999999
0.0,0.38888888888888884,5,3,0.41793086675339786,0.16063714516032135,0.67136
0.0,0.4444444444444444,5,4,0.31736051931116277,0.29785983345614037,0.6593600000000001
0.0,0.5,5,4,0.41664280044927704,0.37817120661394266,0.72088
0.1111111111111111,0.0,5,5,0.25665821706990594,0.15295068790004174,0.9938400000000001
0.1111111111111111,0.05555555555555555,5,3,0.381036812187185,0.3943205666508095,0.41375999999999996
0.1111111111111111,0.1111111111111111,5,5,0.4450542396954644,0.19742872828253366,0.9947199999999999
0.1111111111111111,0.16666666666666666,5,3,0.3752912352781112,0.3067026826275321,0.45808
0.1111111111111111,0.2222222222222222,5,4,0.4718007583103477,0.1771759227228809,0.98464
0.1111111111111111,0.2777777777777778,5,5,0.3294034484925685,0.3632837075245086,0.88672
0.1111111111111111,0.3333333333333333,5,3,0.45992439724233847,0.3993193992510102,0.41528000000000004
0.1111111111111111,0.38888888888888884,5,3,0.3144354894071114,0.33494742767591584,0.27776
0.1111111111111111,0.4444444444444444,5,5,0.2975966446525807,0.2430681928309469,0.9036799999999999
0.1111111111111111,0.5,5,3,0.43682374209034097,0.29510501516653453,0.44848
0.2222222222222222,0.0,5,4,0.4149933821121392,0.29339529129560704,0.9526399999999998
0.2222222222222222,0.05555555555555555,5,4,0.26075614623089927,0.15008923206791536,0.96512
0.2222222222222222,0.1111111111111111,5,5,0.32118182283350183,0.20295300399620825,0.9840000000000001
0.2222222222222222,0.16666666666666666,5,5,0.3242297703504573,0.38187284880545314,0.90208
0.2222222222222222,0.2222222222222222,5,4,0.5382056614794897,0.25487061541855016,0.9759200000000001
0.2222222222222222,0.2777777777777778,5,4,0.4018817235225017,0.15773168957319098,0.97072
0.2222222222222222,0.3333333333333333,5,5,0.3960765052679011,0.17114654567294002,0.9908000000000001
0.2222222222222222,0.38888888888888884,5,4,0.3680981326547552,0.397361729120975,0.63856
0.2222222222222222,0.4444444444444444,5,5,0.5194147196318105,0.2920438472806358,0.9870399999999999
0.2222222222222222,0.5,5,5,0.3518278391009629,0.28786894332186136,0.9168
0.3333333333333333,0.0,5,3,0.4490397815858199,0.19209531018978449,0.9364800000000001
0.3333333333333333,0.05555555555555555,5,4,0.4674338740232153,0.3496096605048837,0.9239200000000001
0.3333333333333333,0.1111111111111111,5,5,0.4056623631230174,0.2326527318441783,0.98992
0.3333333333333333,0.16666666666666666,5,4,0.5356933663453959,0.2862296604873077,0.9700799999999998
0.3333333333333333,0.2222222222222222,5,3,0.3765528775028009,0.21643470435827772,0.65896
0.3333333333333333,0.2777777777777778,5,5,0.5348944203303947,0.3580101406287873,0.98368
0.3333333333333333,0.3333333333333333,5,3,0.32800917288042947,0.17131526189832777,0.5491199999999999
0.3333333333333333,0.38888888888888884,5,3,0.3132857531409967,0.22562208316068214,0.35576
0.3333333333333333,0.4444444444444444,5,5,0.3336759496566261,0.3180226157913706,0.8764
0.3333333333333333,0.5,5,4,0.3586459199639221,0.30521986862625694,0.69624
0.4444444444444444,0.0,5,4,0.30358440509698287,0.14123298378704052,0.98688
0.4444444444444444,0.05555555555555555,5,4,0.41052301361431304,0.38117691029392614,0.87768
0.4444444444444444,0.1111111111111111,5,4,0.36626396053062565,0.35257040340496965,0.8344799999999999
0.4444444444444444,0.16666666666666666,5,4,0.3968096924122141,0.32129902713713354,0.8752800000000001
0.4444444444444444,0.2222222222222222,5,4,0.5282307487402172,0.3371364851768251,0.9368
0.4444444444444444,0.2777777777777778,5,3,0.36121582598203444,0.316337501934828,0.34240000000000004
0.4444444444444444,0.3333333333333333,5,5,0.5473527990784258,0.2731985826291662,0.99152
0.4444444444444444,0.38888888888888884,5,3,0.4202965750247962,0.11072844455218823,0.82088
