p,q,tau,mean_r_inf
0.0,0.0,5,0.8150000000000001
0.0,0.02631578947368421,5,0.8112999999999999
0.0,0.05263157894736842,5,0.7787999999999999
0.0,0.07894736842105263,5,0.7638999999999999
0.0,0.10526315789473684,5,0.7433
0.0,0.13157894736842105,5,0.6961
0.0,0.15789473684210525,5,0.7007
0.0,0.18421052631578946,5,0.6799
0.0,0.21052631578947367,5,0.644
0.0,0.23684210526315788,5,0.6716
0.0,0.2631578947368421,5,0.637
0.0,0.2894736842105263,5,0.6479999999999999
0.0,0.3157894736842105,5,0.5985
0.0,0.3421052631578947,5,0.5914
0.0,0.3684210526315789,5,0.6060000000000001
0.0,0.39473684210526316,5,0.5640000000000001
0.0,0.42105263157894735,5,0.5368
0.0,0.4473684210526315,5,0.5298999999999999
0.0,0.47368421052631576,5,0.5438000000000001
0.0,0.5,5,0.484
0.05263157894736842,0.0,5,0.8397
0.05263157894736842,0.02631578947368421,5,0.8171999999999999
0.05263157894736842,0.05263157894736842,5,0.7916000000000001
0.05263157894736842,0.07894736842105263,5,0.7660999999999999
0.05263157894736842,0.10526315789473684,5,0.7423
0.05263157894736842,0.13157894736842105,5,0.7384000000000001
0.05263157894736842,0.15789473684210525,5,0.6950999999999999
0.05263157894736842,0.18421052631578946,5,0.6778000000000001
0.05263157894736842,0.21052631578947367,5,0.6588999999999999
0.05263157894736842,0.23684210526315788,5,0.6597999999999999
0.05263157894736842,0.2631578947368421,5,0.64
0.05263157894736842,0.2894736842105263,5,0.6152
0.05263157894736842,0.3157894736842105,5,0.5869
0.05263157894736842,0.3421052631578947,5,0.5761000000000001
0.05263157894736842,0.3684210526315789,5,0.5483999999999999
0.05263157894736842,0.39473684210526316,5,0.5564
0.05263157894736842,0.42105263157894735,5,0.5378
0.05263157894736842,0.4473684210526315,5,0.5536
0.05263157894736842,0.47368421052631576,5,0.5136000000000001
0.05263157894736842,0.5,5,0.5114
0.10526315789473684,0.0,5,0.8415999999999999
0.10526315789473684,0.02631578947368421,5,0.8009999999999999
0.10526315789473684,0.05263157894736842,5,0.7744
0.10526315789473684,0.07894736842105263,5,0.7599
0.10526315789473684,0.10526315789473684,5,0.7129
0.10526315789473684,0.13157894736842105,5,0.7252000000000001
0.10526315789473684,0.15789473684210525,5,0.7165
0.10526315789473684,0.18421052631578946,5,0.6445000000000001
0.10526315789473684,0.21052631578947367,5,0.6719999999999999
0.10526315789473684,0.23684210526315788,5,0.6549
0.10526315789473684,0.2631578947368421,5,0.6262000000000001
0.10526315789473684,0.2894736842105263,5,0.6177999999999999
0.10526315789473684,0.3157894736842105,5,0.6087
0.10526315789473684,0.3421052631578947,5,0.5712999999999999
0.10526315789473684,0.3684210526315789,5,0.5588000000000001
0.10526315789473684,0.39473684210526316,5,0.583
0.10526315789473684,0.42105263157894735,5,0.5459
0.10526315789473684,0.4473684210526315,5,0.5258
0.10526315789473684,0.47368421052631576,5,0.5448
