p,q,tau,k,beta,gamma,mean_r_inf
0.0,0.0,5,4,0.5359103392814752,0.26168757883871335,0.9823999999999999
0.0,0.05555555555555555,5,5,0.4234009064529739,0.34339828067105455,0.97356
0.0,0.1111111111111111,5,4,0.40293327346312985,0.20877445378310555,0.96844
0.0,0.16666666666666666,5,3,0.30322346631881675,0.1693302022379159,0.6815999999999999
0.0,0.2222222222222222,5,5,0.3080610157579146,0.27265621456595696,0.93948
0.0,0.2777777777777778,5,5,0.3308676957344899,0.2850969068720284,0.9399200000000001
0.0,0.3333333333333333,5,3,0.5093591074785829,0.28169104780311194,0.62728
0.0,0.38888888888888884,5,4,0.452810366065512,0.19677162165636689,0.9566800000000001
0.0,0.4444444444444444,5,4,0.5091562055668898,0.30769059234258533,0.92232
0.0,0.5,5,4,0.25265515937729105,0.10927108169211806,0.798
0.1111111111111111,0.0,5,4,0.42784435031366536,0.20320071917353366,0.9849600000000001
0.1111111111111111,0.05555555555555555,5,3,0.3210332580021751,0.39469829539856294,0.30904000000000004
0.1111111111111111,0.1111111111111111,5,3,0.315248405507676,0.24457553224615824,0.5587200000000001
0.1111111111111111,0.16666666666666666,5,3,0.397955050861607,0.3650719237462946,0.42679999999999996
0.1111111111111111,0.2222222222222222,5,3,0.5071906792299561,0.2708940313658526,0.7163999999999999
0.1111111111111111,0.2777777777777778,5,4,0.41806846509511064,0.35709657310839354,0.8406
0.1111111111111111,0.3333333333333333,5,4,0.284338721508869,0.258803288458815,0.7003199999999999
0.1111111111111111,0.38888888888888884,5,3,0.5269630768522534,0.12128812504843159,0.86868
0.1111111111111111,0.4444444444444444,5,3,0.33384808195543686,0.377238821314701,0.25108
0.1111111111111111,0.5,5,5,0.38911220177997435,0.2224228493367284,0.9730399999999999
0.2222222222222222,0.0,5,4,0.3248002052816258,0.28854460720730224,0.9110799999999999
0.2222222222222222,0.05555555555555555,5,5,0.2918711543573842,0.35258476264710265,0.91128
0.2222222222222222,0.1111111111111111,5,4,0.4565000902578623,0.26330952764766663,0.96632
0.2222222222222222,0.16666666666666666,5,3,0.4394146116153193,0.24334434624782167,0.7415999999999999
0.2222222222222222,0.2222222222222222,5,5,0.46263076231011663,0.14333543678490915,0.9982399999999998
0.2222222222222222,0.2777777777777778,5,3,0.38356602939486456,0.377248437574751,0.31343999999999994
0.2222222222222222,0.3333333333333333,5,3,0.32571427179563434,0.2510013856205965,0.35812
0.2222222222222222,0.38888888888888884,5,3,0.33566132761366363,0.3835425800029056,0.24912
