p,q,tau,k,beta,gamma,mean_r_inf
0.0,0.0,5,5,0.5250665209399045,0.2809972446823967,0.9960000000000001
0.0,0.125,5,4,0.5380360611101572,0.17578565576213928,0.9960000000000001
0.0,0.25,5,4,0.27449187433029965,0.2228750401565267,0.728
0.0,0.375,5,3,0.25579648005105693,0.1680947690241676,0.36000000000000004
0.0,0.5,5,5,0.4602639881147008,0.11370890526357742,0.9879999999999999
0.25,0.0,5,5,0.4040622116573895,0.18505338650100614,1.0
0.25,0.125,5,4,0.3038918722055243,0.21442204751014657,0.672
0.25,0.25,5,4,0.49957116544141916,0.3023112247955297,0.9399999999999998
0.25,0.375,5,5,0.5040476147565195,0.1350377025059792,0.992
0.25,0.5,5,3,0.25269215419613705,0.15440557600136315,0.24800000000000005
0.5,0.0,5,4,0.5238958214338217,0.1281042096822007,0.9960000000000001
0.5,0.125,5,5,0.4665727853411723,0.11206078872843107,1.0
0.5,0.25,5,3,0.3773399590566503,0.175300896812631,0.472
0.5,0.375,5,3,0.5074543149297494,0.15792910764849108,0.72
0.5,0.5,5,4,0.27225886095438107,0.20602808723352542,0.5999999999999999
0.75,0.0,5,3,0.3529462807314151,0.22575861682948634,0.624
0.75,0.125,5,4,0.5386548368670376,0.3893436052641275,0.8480000000000001
0.75,0.25,5,5,0.31727850408102465,0.33515714307910727,0.564
0.75,0.375,5,3,0.27911680844333037,0.3116430478399911,0.11200000000000002
0.75,0.5,5,5,0.5194992676527679,0.2628490235970273,0.9719999999999999
1.0,0.0,5,4,0.3304218418890514,0.30552589804286573,0.744
1.0,0.125,5,4,0.5236012380017487,0.13505038768157918,0.992
1.0,0.25,5,5,0.45408340359665383,0.18671202137749757,1.0
1.0,0.375,5,3,0.36266216286863134,0.1283220853980297,0.484
1.0,0.5,5,3,0.39576511928651564,0.23265729194875745,0.40800000000000003
